(u'bankmillennium.pl', 'banikmillennium.pl.', 'banikmillennium.pl', u'homo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillennium.biz.pl.', 'bankmillennium.biz.pl', 'wrongTLD', '193.201.167.112')
(u'bankmillennium.pl', 'bankmilennium.com.pl.', 'bankmilennium.com.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillennium.com.ph.', 'bankmillennium.com.ph', 'wrongTLD', '45.79.222.138')
(u'bankmillennium.pl', 'bankmillennium.com.', 'bankmillennium.com', 'wrongTLD', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillennium.net.', 'bankmillennium.net', 'wrongTLD', '72.52.4.122')
(u'bankmillennium.pl', 'bankmillenium.com.pl.', 'bankmillenium.com.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillenium.pl.', 'bankmillenium.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmilennium.pl.', 'bankmilennium.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillennium.ro.', 'bankmillennium.ro', 'wrongTLD', '109.169.39.11')
(u'bankmillennium.pl', 'bankmillennium.com.pl.', 'bankmillennium.com.pl', 'wrongTLD', '193.201.167.112')
(u'bankmillennium.pl', 'bankmiilennium.pl.', 'bankmiilennium.pl', u'homo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillennuim.pl.', 'bankmillennuim.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmilllennium.pl.', 'bankmilllennium.pl', u'typo', '212.91.7.33')
(u'bankmillennium.pl', 'bankmlllennium.pl.', 'bankmlllennium.pl', u'homo', '193.201.167.112')
(u'bankmillennium.pl', 'bankimllennium.pl.', 'bankimllennium.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillrnnium.pl.', 'bankmillrnnium.pl', u'typo', '185.53.178.6')
(u'bankmillennium.pl', 'bankmilenium.biz.pl.', 'bankmilenium.biz.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bank-millennium.com.', 'bank-millennium.com', u'typo', '104.24.107.220')
(u'bankmillennium.pl', 'bankmillenium.com.', 'bankmillenium.com', u'typo', '185.53.178.7')
(u'bankmillennium.pl', 'bankmilenium.com.pl.', 'bankmilenium.com.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmlilennium.pl.', 'bankmlilennium.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmillenniun.pl.', 'bankmillenniun.pl', u'homo', '193.201.167.112')
(u'bankmillennium.pl', 'bankmilenium.pl.', 'bankmilenium.pl', u'typo', '193.201.167.112')
(u'bankmillennium.pl', 'bank-millennium.com.', 'bank-millennium.com', u'typo', '104.24.106.220')
(u'bankmillennium.pl', 'bankmillennium-pl.com.', 'bankmillennium-pl.com', 'combo', '193.201.167.112')
