(u'barnesandnoble.com', 'barnesandnobles.com.', 'barnesandnobles.com', u'typo', '185.53.177.20')
(u'barnesandnoble.com', 'barneasandnoble.com.', 'barneasandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnobble.com.', 'barnesandnobble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnoblec.com.', 'barnesandnoblec.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnoble.tv.', 'barnesandnoble.tv', 'wrongTLD', '65.204.48.118')
(u'barnesandnoble.com', 'barnesandnoblem.com.', 'barnesandnoblem.com', u'typo', '199.191.50.73')
(u'barnesandnoble.com', 'barneasndnoble.com.', 'barneasndnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barmnesandnoble.com.', 'barmnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnobler.com.', 'barnesandnobler.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barn3sandnoble.com.', 'barn3sandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnresandnoble.com.', 'barnresandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnobvle.com.', 'barnesandnobvle.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnmesandnoble.com.', 'barnmesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnoble-inc.com.', 'barnesandnoble-inc.com', 'combo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesancnoble.com.', 'barnesancnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnsesandnoble.com.', 'barnsesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnible.com.', 'barnesandnible.com', u'homo', '66.96.149.32')
(u'barnesandnoble.com', 'bwrnesandnoble.com.', 'bwrnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnasandnoble.com.', 'barnasandnoble.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'barnhesandnoble.com.', 'barnhesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnobl3.com.', 'barnesandnobl3.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'abrnesandnoble.com.', 'abrnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandno0ble.com.', 'barnesandno0ble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barbnesandnoble.com.', 'barbnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'ba4nesandnoble.com.', 'ba4nesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnoblke.com.', 'barnesandnoblke.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandmnoble.com.', 'barnesandmnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandfoble.com.', 'barnesandfoble.com', u'bits', '52.52.18.176')
(u'barnesandnoble.com', 'burnesandnoble.com.', 'burnesandnoble.com', u'homo', '52.52.64.247')
(u'barnesandnoble.com', 'baarnesandnoble.com.', 'baarnesandnoble.com', u'typo', '72.52.4.122')
(u'barnesandnoble.com', 'barnesandnobkle.com.', 'barnesandnobkle.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'bornesandnoble.com.', 'bornesandnoble.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesanenoble.com.', 'barnesanenoble.com', u'bits', '103.224.182.252')
(u'barnesandnoble.com', 'barneswandnoble.com.', 'barneswandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesahdnoble.com.', 'barnesahdnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barn4sandnoble.com.', 'barn4sandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandlnoble.com.', 'barnesandlnoble.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'barjesandnoble.com.', 'barjesandnoble.com', u'bits', '23.22.216.234')
(u'barnesandnoble.com', 'barnesamndnoble.com.', 'barnesamndnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnuble.com.', 'barnesandnuble.com', u'homo', '52.52.18.176')
(u'barnesandnoble.com', 'bazrnesandnoble.com.', 'bazrnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesanrnoble.com.', 'barnesanrnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnobl3.com.', 'barnesandnobl3.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesand-noble.com.', 'barnesand-noble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'baernesandnoble.com.', 'baernesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barbesandnoble.com.', 'barbesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesanxnoble.com.', 'barnesanxnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnsandnoble.org.', 'barnsandnoble.org', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnloble.com.', 'barnesandnloble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesdandnoble.com.', 'barnesdandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnovble.com.', 'barnesandnovble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barneandnoble.net.', 'barneandnoble.net', u'typo', '161.221.74.213')
(u'barnesandnoble.com', 'barnesandnobloe.com.', 'barnesandnobloe.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnewsandnoble.com.', 'barnewsandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnoble-locations.com.', 'barnesandnoble-locations.com', 'combo', '23.22.216.234')
(u'barnesandnoble.com', 'barneandnoble.net.', 'barneandnoble.net', u'typo', '65.204.48.118')
(u'barnesandnoble.com', 'harnesandnoble.com.', 'harnesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'bvarnesandnoble.com.', 'bvarnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesanednoble.com.', 'barnesanednoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnioble.com.', 'barnesandnioble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barneasndnoble.com.', 'barneasndnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barneandnoble.com.', 'barneandnoble.com', u'typo', '161.221.74.213')
(u'barnesandnoble.com', 'bernesandnoble.com.', 'bernesandnoble.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'barjnesandnoble.com.', 'barjnesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barneandnoble.com.', 'barneandnoble.com', u'typo', '65.204.48.118')
(u'barnesandnoble.com', 'barnresandnoble.com.', 'barnresandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnoble.jobs.', 'barnesandnoble.jobs', 'wrongTLD', '50.19.241.165')
(u'barnesandnoble.com', 'barnesanndoble.com.', 'barnesanndoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnodle.com.', 'barnesandnodle.com', u'homo', '52.52.64.247')
(u'barnesandnoble.com', 'barnosandnoble.com.', 'barnosandnoble.com', u'homo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnobled.com.', 'barnesandnobled.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnoble-inc.com.', 'barnesandnoble-inc.com', 'combo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesdandnoble.com.', 'barnesdandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesanbdnoble.com.', 'barnesanbdnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnoble.es.', 'barnesandnoble.es', 'wrongTLD', '212.227.247.203')
(u'barnesandnoble.com', 'barnesandnobole.com.', 'barnesandnobole.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barmnesandnoble.com.', 'barmnesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnoblez.com.', 'barnesandnoblez.com', u'typo', '104.28.26.102')
(u'barnesandnoble.com', 'bqrnesandnoble.com.', 'bqrnesandnoble.com', u'bits', '103.224.182.252')
(u'barnesandnoble.com', 'bawrnesandnoble.com.', 'bawrnesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'bamesandnoble.com.', 'bamesandnoble.com', u'homo', '37.48.65.136')
(u'barnesandnoble.com', 'barnmesandnoble.com.', 'barnmesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnjoble.com.', 'barnesandnjoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'bernesandnoble.com.', 'bernesandnoble.com', u'homo', '52.52.64.247')
(u'barnesandnoble.com', 'barnhesandnoble.com.', 'barnhesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnsesandnoble.com.', 'barnsesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandfnoble.com.', 'barnesandfnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnoible.com.', 'barnesandnoible.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'darnesandnoble.com.', 'darnesandnoble.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'ba4nesandnoble.com.', 'ba4nesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnessandnoble.com.', 'barnessandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'banesandnoble.com.', 'banesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnoble.store.', 'barnesandnoble.store', 'wrongTLD', '216.250.120.105')
