(u'bet-at-home.com', 'bet-at-hhome.com.', 'bet-at-hhome.com', u'typo', '50.63.202.21')
(u'bet-at-home.com', 'bet-at-hoe.de.', 'bet-at-hoe.de', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home.tv.', 'bet-at-home.tv', 'wrongTLD', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home-loft.com.', 'bet-at-home-loft.com', 'combo', '208.73.201.94')
(u'bet-at-home.com', 'bet-at-horne.com.', 'bet-at-horne.com', u'homo', '81.169.145.148')
(u'bet-at-home.com', 'bet-at-homw.com.', 'bet-at-homw.com', u'typo', '184.168.221.6')
(u'bet-at-home.com', 'ns1.bet-at-home-loft.com.', 'ns1.bet-at-home-loft.com', 'combo', '208.73.201.94')
(u'bet-at-home.com', 'xn--bet-t-home-k4a.com.', u'bet-\xe0t-home.com', u'homo', '51.254.41.57')
(u'bet-at-home.com', 'bbet-at-home.com.', 'bbet-at-home.com', u'typo', '50.63.202.5')
(u'bet-at-home.com', 'bet-et-home.de.', 'bet-et-home.de', u'homo', '51.254.41.57')
(u'bet-at-home.com', 'get-at-home.de.', 'get-at-home.de', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home.tel.', 'bet-at-home.tel', 'wrongTLD', '52.50.143.27')
(u'bet-at-home.com', 'bet-at-homr.com.', 'bet-at-homr.com', u'typo', '212.91.7.33')
(u'bet-at-home.com', 'bet-at-home.ba.', 'bet-at-home.ba', 'wrongTLD', '52.59.167.84')
(u'bet-at-home.com', 'bet-a-home.at.', 'bet-a-home.at', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home-bonus.se.', 'bet-at-home-bonus.se', 'combo', '185.53.178.6')
(u'bet-at-home.com', 'bet-at-home.fi.', 'bet-at-home.fi', 'wrongTLD', '52.59.167.84')
(u'bet-at-home.com', 'bet-at-hme.de.', 'bet-at-hme.de', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-att-home.de.', 'bet-att-home.de', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bey-at-home.com.', 'bey-at-home.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-at-jome.com.', 'bet-at-jome.com', u'bits', '74.208.236.127')
(u'bet-at-home.com', 'bit-at-home.com.', 'bit-at-home.com', u'homo', '94.23.251.73')
(u'bet-at-home.com', 'xn--bet-t-home-t5a.com.', u'bet-\xe4t-home.com', u'homo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home.li.', 'bet-at-home.li', 'wrongTLD', '51.254.41.57')
(u'bet-at-home.com', 'bet0at-home.com.', 'bet0at-home.com', u'typo', '184.168.221.30')
(u'bet-at-home.com', 'bet-at-home-affiliates.com.', 'bet-at-home-affiliates.com', 'combo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home.sg.', 'bet-at-home.sg', 'wrongTLD', '51.254.41.57')
(u'bet-at-home.com', 'bet-at0home.com.', 'bet-at0home.com', u'typo', '184.168.221.22')
(u'bet-at-home.com', 'net-at-home.com.', 'net-at-home.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-t-home.de.', 'bet-t-home.de', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home.org.', 'bet-at-home.org', 'wrongTLD', '192.64.119.155')
(u'bet-at-home.com', 'bet-at-hme.com.', 'bet-at-hme.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-a-t-home.com.', 'bet-a-t-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bt-at-home.com.', 'bt-at-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'vet-at-home.com.', 'vet-at-home.com', u'typo', '74.208.236.87')
(u'bet-at-home.com', 'bet-at-gome.com.', 'bet-at-gome.com', u'typo', '192.185.21.106')
(u'bet-at-home.com', 'bet-at-hime.com.', 'bet-at-hime.com', u'homo', '184.168.221.14')
(u'bet-at-home.com', 'casino-bet-at-home.com.', 'casino-bet-at-home.com', 'combo', '89.31.143.1')
(u'bet-at-home.com', 'www-bet-at-home.com.', 'www-bet-at-home.com', 'combo', '212.91.7.33')
(u'bet-at-home.com', 'bet-qt-home.com.', 'bet-qt-home.com', u'bits', '52.4.209.250')
(u'bet-at-home.com', 'affiliates-bet-at-home.com.', 'affiliates-bet-at-home.com', 'combo', '212.91.7.33')
(u'bet-at-home.com', 'bet-at-ohme.com.', 'bet-at-ohme.com', u'typo', '50.63.202.18')
