(u'bhphotovideo.com', 'bhphotovidea.com.', 'bhphotovidea.com', u'homo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphoto-video.com.', 'bhphoto-video.com', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovdeo.com.', 'bhphotovdeo.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'dhphotovideo.com.', 'dhphotovideo.com', u'homo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovido.com.', 'bhphotovido.com', u'typo', '54.72.9.51')
(u'bhphotovideo.com', 'bhphotovideo.ie.', 'bhphotovideo.ie', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhhotovideo.com.', 'bhhotovideo.com', u'typo', '165.160.13.20')
(u'bhphotovideo.com', 'hphotovideo.com.', 'hphotovideo.com', u'typo', '185.53.178.9')
(u'bhphotovideo.com', 'bhphotovideo.co.uk.', 'bhphotovideo.co.uk', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotoivdeo.com.', 'bhphotoivdeo.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.porn.', 'bhphotovideo.porn', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.gl.', 'bhphotovideo.gl', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.com.my.', 'bhphotovideo.com.my', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.org.', 'bhphotovideo.org', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.net.', 'bhphotovideo.net', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovidea.com.', 'bhphotovidea.com', u'homo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.ro.', 'bhphotovideo.ro', 'wrongTLD', '184.95.38.200')
(u'bhphotovideo.com', 'bhphotovdeo.com.', 'bhphotovdeo.com', u'typo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.nl.', 'bhphotovideo.nl', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'dhphotovideo.com.', 'dhphotovideo.com', u'homo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo-corp.com.', 'bhphotovideo-corp.com', 'combo', '54.246.98.169')
(u'bhphotovideo.com', 'bbhphotovideo.com.', 'bbhphotovideo.com', u'typo', '199.59.242.150')
(u'bhphotovideo.com', 'bhphotocideo.com.', 'bhphotocideo.com', u'typo', '172.107.9.119')
(u'bhphotovideo.com', 'bhphotovideo.hk.', 'bhphotovideo.hk', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bphotovideo.com.', 'bphotovideo.com', u'typo', '54.72.9.51')
(u'bhphotovideo.com', 'bhphtovideo.com.', 'bhphtovideo.com', u'typo', '103.224.212.222')
(u'bhphotovideo.com', 'bhbphotovideo.com.', 'bhbphotovideo.com', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.ie.', 'bhphotovideo.ie', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.pl.', 'bhphotovideo.pl', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovudeo.com.', 'bhphotovudeo.com', u'homo', '172.107.9.108')
(u'bhphotovideo.com', 'bhphotovideo.mx.', 'bhphotovideo.mx', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotoivdeo.com.', 'bhphotoivdeo.com', u'typo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.org.uk.', 'bhphotovideo.org.uk', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.lu.', 'bhphotovideo.lu', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bjphotovideo.com.', 'bjphotovideo.com', u'bits', '45.33.9.234')
(u'bhphotovideo.com', 'bhphotovideo.porn.', 'bhphotovideo.porn', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhohotovideo.com.', 'bhohotovideo.com', u'typo', '103.224.212.253')
(u'bhphotovideo.com', 'bhphotovideo.com.my.', 'bhphotovideo.com.my', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovvideo.com.', 'bhphotovvideo.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'vhphotovideo.com.', 'vhphotovideo.com', u'typo', '199.191.50.73')
(u'bhphotovideo.com', 'bhphoovideo.com.', 'bhphoovideo.com', u'typo', '185.53.178.7')
(u'bhphotovideo.com', 'bhphotovideo-corp.com.', 'bhphotovideo-corp.com', 'combo', '54.247.163.194')
(u'bhphotovideo.com', 'bhphotovideo.nl.', 'bhphotovideo.nl', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.us.', 'bhphotovideo.us', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.cz.', 'bhphotovideo.cz', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.com.pr.', 'bhphotovideo.com.pr', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.mx.', 'bhphotovideo.mx', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.xyz.', 'bhphotovideo.xyz', 'wrongTLD', '108.167.181.217')
(u'bhphotovideo.com', 'bhphotovideo.at.', 'bhphotovideo.at', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.lu.', 'bhphotovideo.lu', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bh-photovideo.org.', 'bh-photovideo.org', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovvideo.com.', 'bhphotovvideo.com', u'typo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.com.mx.', 'bhphotovideo.com.mx', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bh-photovideo.net.', 'bh-photovideo.net', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'dhphotovideo.org.', 'dhphotovideo.org', u'homo', '198.185.159.144')
(u'bhphotovideo.com', 'dhphotovideo.org.', 'dhphotovideo.org', u'homo', '198.185.159.145')
(u'bhphotovideo.com', 'bh-photovideo.com.', 'bh-photovideo.com', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'hbphotovideo.com.', 'hbphotovideo.com', u'typo', '37.48.65.143')
(u'bhphotovideo.com', 'blphotovideo.com.', 'blphotovideo.com', u'bits', '199.59.242.150')
(u'bhphotovideo.com', 'chphotovideo.com.', 'chphotovideo.com', u'bits', '107.180.55.11')
(u'bhphotovideo.com', 'bhphotovideo.com.es.', 'bhphotovideo.com.es', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo-corp.com.', 'bhphotovideo-corp.com', 'combo', '46.51.177.195')
(u'bhphotovideo.com', 'bhphotovdieo.com.', 'bhphotovdieo.com', u'typo', '199.59.242.150')
(u'bhphotovideo.com', 'bhphotovideo.adult.', 'bhphotovideo.adult', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.co.kr.', 'bhphotovideo.co.kr', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.net.nz.', 'bhphotovideo.net.nz', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bnphotovideo.com.', 'bnphotovideo.com', u'typo', '50.63.202.43')
(u'bhphotovideo.com', 'bhphotovideos.com.', 'bhphotovideos.com', u'typo', '199.59.242.150')
(u'bhphotovideo.com', 'bhphotovodeo.com.', 'bhphotovodeo.com', u'homo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.ru.', 'bhphotovideo.ru', 'wrongTLD', '82.98.86.170')
(u'bhphotovideo.com', 'bhphotovideo.mu.', 'bhphotovideo.mu', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotevideo.com.', 'bhphotevideo.com', u'homo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.adult.', 'bhphotovideo.adult', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotoviceo.com.', 'bhphotoviceo.com', u'typo', '50.63.202.38')
(u'bhphotovideo.com', 'bhphotovideo.tech.', 'bhphotovideo.tech', 'wrongTLD', '173.254.28.91')
