(u'biomedcentral.com', 'biomedcentral.org.', 'biomedcentral.org', 'wrongTLD', '96.45.83.224')
(u'biomedcentral.com', 'biomedcentral-global-roadshow.com.', 'biomedcentral-global-roadshow.com', 'combo', '96.45.83.39')
(u'biomedcentral.com', 'biomedcentral.net.', 'biomedcentral.net', 'wrongTLD', '96.45.83.224')
(u'biomedcentral.com', 'bio-medcentral.org.', 'bio-medcentral.org', u'typo', '96.45.82.248')
(u'biomedcentral.com', 'biomed-central.org.', 'biomed-central.org', u'typo', '96.45.82.248')
(u'biomedcentral.com', 'bio-medcentral.net.', 'bio-medcentral.net', u'typo', '96.45.82.248')
(u'biomedcentral.com', 'bio-medcentral.com.', 'bio-medcentral.com', u'typo', '96.45.82.248')
(u'biomedcentral.com', 'biomed-central.com.', 'biomed-central.com', u'typo', '96.45.82.248')
(u'biomedcentral.com', 'biomedcentral.co.uk.', 'biomedcentral.co.uk', 'wrongTLD', '96.45.83.39')
(u'biomedcentral.com', 'biomedcentral-global-roadshow.com.', 'biomedcentral-global-roadshow.com', 'combo', '96.45.83.224')
(u'biomedcentral.com', 'biomedcentral.co.uk.', 'biomedcentral.co.uk', 'wrongTLD', '96.45.83.224')
(u'biomedcentral.com', 'biomedcentral.jp.', 'biomedcentral.jp', 'wrongTLD', '96.45.82.248')
(u'biomedcentral.com', 'biomedcental.com.', 'biomedcental.com', u'typo', '5.79.68.108')
(u'biomedcentral.com', 'biomedcental.com.', 'biomedcental.com', u'typo', '5.79.68.109')
(u'biomedcentral.com', 'biomedcentral.hk.', 'biomedcentral.hk', 'wrongTLD', '96.45.83.224')
(u'biomedcentral.com', 'biomedcentral.org.', 'biomedcentral.org', 'wrongTLD', '96.45.82.109')
(u'biomedcentral.com', 'bio-medcentral.org.', 'bio-medcentral.org', u'typo', '96.45.83.224')
(u'biomedcentral.com', 'biomedicentral.com.', 'biomedicentral.com', u'homo', '207.244.67.138')
(u'biomedcentral.com', 'biomed-central.org.', 'biomed-central.org', u'typo', '96.45.83.224')
(u'biomedcentral.com', 'biomedicentral.com.', 'biomedicentral.com', u'homo', '207.244.67.139')
(u'biomedcentral.com', 'bio-medcentral.net.', 'bio-medcentral.net', u'typo', '96.45.83.224')
(u'biomedcentral.com', 'biomedcentral.net.', 'biomedcentral.net', 'wrongTLD', '96.45.82.109')
(u'biomedcentral.com', 'bio-medcentral.com.', 'bio-medcentral.com', u'typo', '96.45.83.224')
(u'biomedcentral.com', 'biomed-central.com.', 'biomed-central.com', u'typo', '96.45.83.224')
(u'biomedcentral.com', 'biomedcental.com.', 'biomedcental.com', u'typo', '5.79.68.110')
(u'biomedcentral.com', 'biomedcentral.org.', 'biomedcentral.org', 'wrongTLD', '96.45.83.39')
(u'biomedcentral.com', 'biomedcentral.net.', 'biomedcentral.net', 'wrongTLD', '96.45.83.39')
(u'biomedcentral.com', 'biomdcentral.com.', 'biomdcentral.com', u'typo', '118.129.167.14')
(u'biomedcentral.com', 'biomedcentral-global-roadshow.com.', 'biomedcentral-global-roadshow.com', 'combo', '96.45.82.109')
(u'biomedcentral.com', 'biomedcentral.co.uk.', 'biomedcentral.co.uk', 'wrongTLD', '96.45.82.109')
(u'biomedcentral.com', 'biomedcentral.jp.', 'biomedcentral.jp', 'wrongTLD', '96.45.83.224')
(u'biomedcentral.com', 'biomedcentral.hk.', 'biomedcentral.hk', 'wrongTLD', '96.45.82.109')
(u'biomedcentral.com', 'diomedcentral.com.', 'diomedcentral.com', u'homo', '208.91.197.26')
(u'biomedcentral.com', 'bio-medcentral.org.', 'bio-medcentral.org', u'typo', '96.45.82.109')
(u'biomedcentral.com', 'biomed-central.org.', 'biomed-central.org', u'typo', '96.45.82.109')
(u'biomedcentral.com', 'bio-medcentral.net.', 'bio-medcentral.net', u'typo', '96.45.82.109')
(u'biomedcentral.com', 'biomedcentral.hk.', 'biomedcentral.hk', 'wrongTLD', '96.45.83.39')
(u'biomedcentral.com', 'bio-medcentral.com.', 'bio-medcentral.com', u'typo', '96.45.82.109')
(u'biomedcentral.com', 'biomed-central.com.', 'biomed-central.com', u'typo', '96.45.82.109')
(u'biomedcentral.com', 'bio-medcentral.org.', 'bio-medcentral.org', u'typo', '96.45.83.39')
(u'biomedcentral.com', 'biomed-central.org.', 'biomed-central.org', u'typo', '96.45.83.39')
(u'biomedcentral.com', 'bio-medcentral.net.', 'bio-medcentral.net', u'typo', '96.45.83.39')
(u'biomedcentral.com', 'biomedcentral.org.', 'biomedcentral.org', 'wrongTLD', '96.45.82.248')
(u'biomedcentral.com', 'bio-medcentral.com.', 'bio-medcentral.com', u'typo', '96.45.83.39')
(u'biomedcentral.com', 'biomedcentral.net.', 'biomedcentral.net', 'wrongTLD', '96.45.82.248')
(u'biomedcentral.com', 'biomed-central.com.', 'biomed-central.com', u'typo', '96.45.83.39')
(u'biomedcentral.com', 'biomedicentral.com.', 'biomedicentral.com', u'homo', '5.79.68.107')
(u'biomedcentral.com', 'biomecentral.com.', 'biomecentral.com', u'typo', '50.63.202.22')
(u'biomedcentral.com', 'biomedcental.com.', 'biomedcental.com', u'typo', '207.244.67.139')
(u'biomedcentral.com', 'biomedcentral.jp.', 'biomedcentral.jp', 'wrongTLD', '96.45.82.109')
(u'biomedcentral.com', 'biomedcentral-global-roadshow.com.', 'biomedcentral-global-roadshow.com', 'combo', '96.45.82.248')
(u'biomedcentral.com', 'biomedcentral.jp.', 'biomedcentral.jp', 'wrongTLD', '96.45.83.39')
(u'biomedcentral.com', 'biomedicentral.com.', 'biomedicentral.com', u'homo', '5.79.68.110')
(u'biomedcentral.com', 'biomedcentral.co.uk.', 'biomedcentral.co.uk', 'wrongTLD', '96.45.82.248')
(u'biomedcentral.com', 'biomedcentral.hk.', 'biomedcentral.hk', 'wrongTLD', '96.45.82.248')
