(u'bloomberg.com', 'bloomberg.sn.', 'bloomberg.sn', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'mike-bloomberg.com.', 'mike-bloomberg.com', 'combo', '165.160.15.20')
(u'bloomberg.com', 'blomberg.istanbul.', 'blomberg.istanbul', u'typo', '217.19.248.132')
(u'bloomberg.com', 'bloomberg-news.net.', 'bloomberg-news.net', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloombergl.com.', 'bloombergl.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-initiative.org.', 'bloomberg-initiative.org', 'combo', '165.160.13.20')
(u'bloomberg.com', 'vloomberg.net.', 'vloomberg.net', u'typo', '69.191.251.238')
(u'bloomberg.com', 'e-bloomberg.com.', 'e-bloomberg.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.ua.', 'bloomberg.ua', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'boomberg.net.', 'boomberg.net', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloopmberg.com.', 'bloopmberg.com', u'typo', '184.168.221.27')
(u'bloomberg.com', 'bloomberg-gov.com.', 'bloomberg-gov.com', 'combo', '165.160.15.20')
(u'bloomberg.com', 'boomberg.nyc.', 'boomberg.nyc', u'typo', '165.160.15.20')
(u'bloomberg.com', 'find-bloomberg.org.', 'find-bloomberg.org', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-homepage.com.', 'bloomberg-homepage.com', 'combo', '184.168.221.14')
(u'bloomberg.com', 'blooberg.com.', 'blooberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.org.cn.', 'bloomberg.org.cn', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloiomberg.com.', 'bloiomberg.com', u'typo', '184.168.221.2')
(u'bloomberg.com', 'bloomberrg.eu.', 'bloomberrg.eu', u'typo', '162.254.85.51')
(u'bloomberg.com', 'bloomberg-news.com.', 'bloomberg-news.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-initiative.net.', 'bloomberg-initiative.net', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg.edu.vn.', 'bloomberg.edu.vn', 'wrongTLD', '104.27.168.210')
(u'bloomberg.com', 'bloemberg.net.', 'bloemberg.net', u'homo', '62.204.93.32')
(u'bloomberg.com', 'bloomberg.cc.', 'bloomberg.cc', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'vloomberg.com.', 'vloomberg.com', u'typo', '69.191.251.238')
