(u'capitecbank.co.za', 'capitecbank.net.', 'capitecbank.net', 'wrongTLD', '154.0.160.152')
(u'capitecbank.co.za', 'capitecbank.bank.', 'capitecbank.bank', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.org.', 'capitecbank.org', 'wrongTLD', '50.63.202.12')
(u'capitecbank.co.za', 'capitecbank.loan.', 'capitecbank.loan', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.online.', 'capitecbank.online', 'wrongTLD', '198.54.117.212')
(u'capitecbank.co.za', 'ns2.capitecbank-za.com.', 'ns2.capitecbank-za.com', 'combo', '162.247.78.219')
(u'capitecbank.co.za', 'ns1.capitecbank-za.com.', 'ns1.capitecbank-za.com', 'combo', '162.247.78.218')
(u'capitecbank.co.za', 'capitecbank.financial.', 'capitecbank.financial', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.co.in.', 'capitecbank.co.in', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.finance.', 'capitecbank.finance', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.club.', 'capitecbank.club', 'wrongTLD', '182.48.55.87')
(u'capitecbank.co.za', 'capitecbank.joburg.', 'capitecbank.joburg', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.biz.', 'capitecbank.biz', 'wrongTLD', '154.0.160.152')
(u'capitecbank.co.za', 'capitecbank.org.za.', 'capitecbank.org.za', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.in.', 'capitecbank.in', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.eu.', 'capitecbank.eu', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitacbank.com.', 'capitacbank.com', u'homo', '208.91.196.94')
(u'capitecbank.co.za', 'capitecbank.com.tw.', 'capitecbank.com.tw', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.com.cn.', 'capitecbank.com.cn', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.info.', 'capitecbank.info', 'wrongTLD', '154.0.160.152')
(u'capitecbank.co.za', 'capitecbank.mortgage.', 'capitecbank.mortgage', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.com.', 'capitecbank.com', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.credit.', 'capitecbank.credit', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.com.br.', 'capitecbank.com.br', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.co.uk.', 'capitecbank.co.uk', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'capitecbank.cn.', 'capitecbank.cn', 'wrongTLD', '212.20.251.81')
(u'capitecbank.co.za', 'capitecbank.durban.', 'capitecbank.durban', 'wrongTLD', '196.33.13.39')
(u'capitecbank.co.za', 'ns2.capitecbank-za.com.', 'ns2.capitecbank-za.com', 'combo', '68.171.217.252')
(u'capitecbank.co.za', 'capitecbank-za.com.', 'capitecbank-za.com', 'combo', '162.247.78.22')
(u'capitecbank.co.za', 'ns1.capitecbank-za.com.', 'ns1.capitecbank-za.com', 'combo', '68.171.217.251')
