(u'citationmachine.net', 'citationmachne.net.', 'citationmachne.net', u'typo', '208.91.196.152')
(u'citationmachine.net', 'citationmachien.com.', 'citationmachien.com', u'typo', '184.168.221.32')
(u'citationmachine.net', 'citatioinmachine.net.', 'citatioinmachine.net', u'typo', '209.15.13.134')
(u'citationmachine.net', 'citationmachine.info.', 'citationmachine.info', 'wrongTLD', '52.58.78.16')
(u'citationmachine.net', 'citationmachne.com.', 'citationmachne.com', u'typo', '213.247.47.190')
(u'citationmachine.net', 'citationmachine-west.ga.', 'citationmachine-west.ga', 'combo', '195.20.49.57')
(u'citationmachine.net', 'citatinmachine.net.', 'citatinmachine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachine-east.net.', 'citationmachine-east.net', 'combo', '64.182.220.117')
(u'citationmachine.net', 'citationmachne.com.', 'citationmachne.com', u'typo', '173.239.5.6')
(u'citationmachine.net', 'citationmchine.com.', 'citationmchine.com', u'typo', '185.53.179.7')
(u'citationmachine.net', 'citaionmachine.net.', 'citaionmachine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citatonmachine.com.', 'citatonmachine.com', u'typo', '173.192.64.147')
(u'citationmachine.net', 'sitationmachine.net.', 'sitationmachine.net', u'bits', '199.191.50.73')
(u'citationmachine.net', 'citaionmachine.com.', 'citaionmachine.com', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachene.net.', 'citationmachene.net', u'homo', '199.191.50.73')
(u'citationmachine.net', 'citationmachinet.net.', 'citationmachinet.net', u'typo', '95.211.219.66')
(u'citationmachine.net', 'citationmachines.com.', 'citationmachines.com', u'typo', '141.8.224.169')
(u'citationmachine.net', 'citationmachne.com.', 'citationmachne.com', u'typo', '173.239.8.164')
(u'citationmachine.net', 'citatiomachine.net.', 'citatiomachine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachie.net.', 'citationmachie.net', u'typo', '208.91.196.152')
(u'citationmachine.net', 'mail.citationmachine-east.net.', 'mail.citationmachine-east.net', 'combo', '64.182.220.117')
(u'citationmachine.net', 'citatiomachine.com.', 'citatiomachine.com', u'typo', '69.172.201.153')
(u'citationmachine.net', 'cittationmachine.net.', 'cittationmachine.net', u'typo', '173.239.2.182')
(u'citationmachine.net', 'citationmachione.com.', 'citationmachione.com', u'typo', '209.15.13.134')
(u'citationmachine.net', 'citationmmachine.net.', 'citationmmachine.net', u'typo', '209.15.13.134')
(u'citationmachine.net', 'citationmachine.org.', 'citationmachine.org', 'wrongTLD', '185.53.177.30')
(u'citationmachine.net', 'citationmechine.com.', 'citationmechine.com', u'homo', '141.8.224.93')
(u'citationmachine.net', 'citationmahine.net.', 'citationmahine.net', u'typo', '208.91.196.152')
(u'citationmachine.net', 'citationmachie.com.', 'citationmachie.com', u'typo', '185.53.177.30')
(u'citationmachine.net', 'citattionmachine.net.', 'citattionmachine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachine.tk.', 'citationmachine.tk', 'wrongTLD', '104.31.75.114')
(u'citationmachine.net', 'ciationmachine.net.', 'ciationmachine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachine.me.', 'citationmachine.me', 'wrongTLD', '70.86.19.2')
(u'citationmachine.net', 'citationmashine.net.', 'citationmashine.net', u'bits', '199.191.50.73')
(u'citationmachine.net', 'citaitonmachine.net.', 'citaitonmachine.net', u'typo', '173.239.2.182')
(u'citationmachine.net', 'ciationmachine.com.', 'ciationmachine.com', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachine.com.', 'citationmachine.com', 'wrongTLD', '72.52.179.175')
(u'citationmachine.net', 'citationmachien.net.', 'citationmachien.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citatiionmachine.net.', 'citatiionmachine.net', u'typo', '103.224.212.222')
(u'citationmachine.net', 'citationmchine.net.', 'citationmchine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachhine.net.', 'citationmachhine.net', u'typo', '209.15.13.134')
(u'citationmachine.net', 'cytationmachine.net.', 'cytationmachine.net', u'bits', '173.239.2.182')
(u'citationmachine.net', 'citationmachiine.com.', 'citationmachiine.com', u'typo', '209.15.13.134')
(u'citationmachine.net', 'citationamchine.net.', 'citationamchine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachime.net.', 'citationmachime.net', u'homo', '199.191.50.73')
(u'citationmachine.net', 'citationmaching.net.', 'citationmaching.net', u'bits', '199.191.50.73')
(u'citationmachine.net', 'ctationmachine.net.', 'ctationmachine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmaching.com.', 'citationmaching.com', u'bits', '199.191.50.73')
