(u'clevelandclinic.org', 'clevelsndclinic.org.', 'clevelsndclinic.org', u'typo', '185.53.178.6')
(u'clevelandclinic.org', 'clevelandclinnic.org.', 'clevelandclinnic.org', u'typo', '185.53.178.7')
(u'clevelandclinic.org', 'cleveladclinic.org.', 'cleveladclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelnadclinic.org.', 'clevelnadclinic.org', u'typo', '185.53.178.6')
(u'clevelandclinic.org', 'clevelabdclinic.org.', 'clevelabdclinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandclinuc.org.', 'clevelandclinuc.org', u'homo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandlinic.org.', 'clevelandlinic.org', u'typo', '103.232.215.143')
(u'clevelandclinic.org', 'clevelandvlinic.org.', 'clevelandvlinic.org', u'typo', '185.53.178.9')
(u'clevelandclinic.org', 'clevleandclinic.org.', 'clevleandclinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandxlinic.org.', 'clevelandxlinic.org', u'typo', '185.53.178.7')
(u'clevelandclinic.org', 'clevelandclinicc.org.', 'clevelandclinicc.org', u'typo', '185.53.179.8')
(u'clevelandclinic.org', 'clevelanndclinic.org.', 'clevelanndclinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandcliniv.org.', 'clevelandcliniv.org', u'typo', '185.53.178.6')
(u'clevelandclinic.org', 'clevekandclinic.org.', 'clevekandclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelandclinci.org.', 'clevelandclinci.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandclimic.org.', 'clevelandclimic.org', u'homo', '50.117.113.222')
(u'clevelandclinic.org', 'clevelandclinc.com.', 'clevelandclinc.com', u'typo', '199.191.50.73')
(u'clevelandclinic.org', 'clevelanclinic.com.', 'clevelanclinic.com', u'typo', '72.52.4.122')
(u'clevelandclinic.org', 'clevelandlcinic.org.', 'clevelandlcinic.org', u'typo', '185.53.179.6')
(u'clevelandclinic.org', 'clevelamdclinic.org.', 'clevelamdclinic.org', u'homo', '54.72.9.51')
(u'clevelandclinic.org', 'cleelandclinic.org.', 'cleelandclinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandckinic.org.', 'clevelandckinic.org', u'typo', '185.53.178.8')
(u'clevelandclinic.org', 'clevrlandclinic.org.', 'clevrlandclinic.org', u'typo', '185.53.179.6')
(u'clevelandclinic.org', 'clevelandclinic-jobs.com.', 'clevelandclinic-jobs.com', 'combo', '52.8.43.22')
(u'clevelandclinic.org', 'cllevelandclinic.org.', 'cllevelandclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clivelandclinic.com.', 'clivelandclinic.com', u'homo', '209.15.13.134')
(u'clevelandclinic.org', 'clevalandclinic.org.', 'clevalandclinic.org', u'homo', '50.117.113.222')
(u'clevelandclinic.org', 'cevelandclinic.org.', 'cevelandclinic.org', u'typo', '199.59.242.150')
(u'clevelandclinic.org', 'clevwlandclinic.org.', 'clevwlandclinic.org', u'typo', '185.53.178.8')
(u'clevelandclinic.org', 'clevelanddclinic.org.', 'clevelanddclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelandclonic.org.', 'clevelandclonic.org', u'homo', '185.53.179.8')
(u'clevelandclinic.org', 'clevelandclinic.tech.', 'clevelandclinic.tech', 'wrongTLD', '69.64.147.242')
(u'clevelandclinic.org', 'clevelanndclinic.org.', 'clevelanndclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelandcinic.org.', 'clevelandcinic.org', u'typo', '69.64.146.224')
(u'clevelandclinic.org', 'clevelandcliinic.org.', 'clevelandcliinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandclinic-sa.com.', 'clevelandclinic-sa.com', 'combo', '74.220.199.9')
(u'clevelandclinic.org', 'clevelandclinicf.org.', 'clevelandclinicf.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'cleveland-clinic.dev.', 'cleveland-clinic.dev', u'typo', '127.0.53.53')
(u'clevelandclinic.org', 'clevelansclinic.org.', 'clevelansclinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelanfclinic.org.', 'clevelanfclinic.org', u'bits', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandclinuc.org.', 'clevelandclinuc.org', u'homo', '185.53.178.6')
(u'clevelandclinic.org', 'clivelandclinic.org.', 'clivelandclinic.org', u'homo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelanclinic.org.', 'clevelanclinic.org', u'typo', '208.91.196.105')
