(u'coinmarketcap.com', 'coinmarkecap.com.', 'coinmarkecap.com', u'typo', '213.247.47.190')
(u'coinmarketcap.com', 'counmarketcap.com.', 'counmarketcap.com', u'homo', '45.56.69.72')
(u'coinmarketcap.com', 'coinmarketap.com.', 'coinmarketap.com', u'typo', '107.161.23.204')
(u'coinmarketcap.com', 'coinmaketcap.com.', 'coinmaketcap.com', u'typo', '173.239.8.164')
(u'coinmarketcap.com', 'coinmarketcao.com.', 'coinmarketcao.com', u'typo', '72.52.178.23')
(u'coinmarketcap.com', 'coonmarketcap.com.', 'coonmarketcap.com', u'homo', '5.79.68.109')
(u'coinmarketcap.com', 'coinmarketap.com.', 'coinmarketap.com', u'typo', '167.114.213.199')
(u'coinmarketcap.com', 'coinmqrketcap.com.', 'coinmqrketcap.com', u'bits', '141.8.224.93')
(u'coinmarketcap.com', 'coinmaarketcap.com.', 'coinmaarketcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinmaeketcap.com.', 'coinmaeketcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinmakretcap.com.', 'coinmakretcap.com', u'typo', '54.72.9.51')
(u'coinmarketcap.com', 'coinmarkecap.com.', 'coinmarkecap.com', u'typo', '173.239.5.6')
(u'coinmarketcap.com', 'coiinmarketcap.com.', 'coiinmarketcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinnarketcap.com.', 'coinnarketcap.com', u'homo', '45.33.9.234')
(u'coinmarketcap.com', 'coinmarektcap.com.', 'coinmarektcap.com', u'typo', '5.79.68.109')
(u'coinmarketcap.com', 'coinmarketgap.com.', 'coinmarketgap.com', u'bits', '5.79.68.109')
(u'coinmarketcap.com', 'coonmarketcap.com.', 'coonmarketcap.com', u'homo', '5.79.68.110')
(u'coinmarketcap.com', 'coimmarketcap.com.', 'coimmarketcap.com', u'homo', '162.255.119.190')
(u'coinmarketcap.com', 'coinmarkitcap.com.', 'coinmarkitcap.com', u'homo', '91.195.240.93')
(u'coinmarketcap.com', 'coinmarketcap.us.', 'coinmarketcap.us', 'wrongTLD', '136.243.255.87')
(u'coinmarketcap.com', 'coinmarkecap.com.', 'coinmarkecap.com', u'typo', '173.239.8.164')
(u'coinmarketcap.com', 'coinmarkertcap.com.', 'coinmarkertcap.com', u'typo', '45.56.69.72')
(u'coinmarketcap.com', 'coinmarketca.com.', 'coinmarketca.com', u'typo', '167.114.213.199')
(u'coinmarketcap.com', 'coinmarketvap.com.', 'coinmarketvap.com', u'typo', '91.195.240.93')
