(u'comerica.com', 'gomerica.net.', 'gomerica.net', u'bits', '67.43.4.78')
(u'comerica.com', 'conmerica.com.', 'conmerica.com', u'typo', '173.237.190.2')
(u'comerica.com', 'ccomerica.com.', 'ccomerica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'webbank1ng-comerica.com.', 'webbank1ng-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'domerica.com.', 'domerica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'newcards-comerica.com.', 'newcards-comerica.com', 'combo', '206.165.245.100')
(u'comerica.com', 'comerica-web-banking.com.', 'comerica-web-banking.com', 'combo', '72.52.10.14')
(u'comerica.com', 'somerica.com.', 'somerica.com', u'bits', '212.1.212.216')
(u'comerica.com', 'komerica.org.', 'komerica.org', u'bits', '97.74.215.11')
(u'comerica.com', 'comerica.ws.', 'comerica.ws', 'wrongTLD', '64.70.19.203')
(u'comerica.com', 'webedu-comerica.com.', 'webedu-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comerlca.com.', 'comerlca.com', u'homo', '198.54.115.208')
(u'comerica.com', 'comercia.biz.', 'comercia.biz', u'typo', '87.98.228.82')
(u'comerica.com', 'comerican.com.', 'comerican.com', u'typo', '98.124.245.24')
(u'comerica.com', 'comeric.com.', 'comeric.com', u'typo', '103.224.182.252')
(u'comerica.com', 'comwrica.com.', 'comwrica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'webbanks-comerica.com.', 'webbanks-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comercia.org.', 'comercia.org', u'typo', '91.216.34.100')
(u'comerica.com', 'gd-comerical.com.', 'gd-comerical.com', 'combo', '23.236.62.147')
(u'comerica.com', 'conerica.com.', 'conerica.com', u'homo', '72.52.10.14')
(u'comerica.com', 'cimerica.com.', 'cimerica.com', u'homo', '72.52.10.14')
(u'comerica.com', 'comerica.com.br.', 'comerica.com.br', 'wrongTLD', '66.96.149.1')
(u'comerica.com', 'comericca.com.', 'comericca.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comefica.eu.', 'comefica.eu', u'typo', '217.70.184.38')
(u'comerica.com', 'comeruca.com.', 'comeruca.com', u'homo', '72.52.10.14')
(u'comerica.com', 'comefica.com.', 'comefica.com', u'typo', '104.27.170.143')
(u'comerica.com', 'comerica.theater.', 'comerica.theater', 'wrongTLD', '192.185.21.124')
(u'comerica.com', 'comerico.com.', 'comerico.com', u'homo', '216.250.129.34')
(u'comerica.com', 'comereica.com.', 'comereica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comercia.com.mx.', 'comercia.com.mx', u'typo', '74.208.236.105')
(u'comerica.com', 'comerica-bk.net.', 'comerica-bk.net', 'combo', '72.52.10.14')
