(u'dinersclubus.com', 'dinersclubusa.com.', 'dinersclubusa.com', u'typo', '165.160.13.20')
(u'dinersclubus.com', 'dinnersclubus.org.', 'dinnersclubus.org', u'typo', '165.160.15.20')
(u'dinersclubus.com', 'dinnersclubus.org.', 'dinnersclubus.org', u'typo', '165.160.13.20')
(u'dinersclubus.com', 'dinersclubus.com.ph.', 'dinersclubus.com.ph', 'wrongTLD', '45.79.222.138')
(u'dinersclubus.com', 'dinersclubus.at.', 'dinersclubus.at', 'wrongTLD', '165.160.15.20')
(u'dinersclubus.com', 'dinersclubus.at.', 'dinersclubus.at', 'wrongTLD', '165.160.13.20')
(u'dinersclubus.com', 'dinersclubs.com.', 'dinersclubs.com', u'typo', '165.160.15.20')
(u'dinersclubus.com', 'dinnersclubus.com.', 'dinnersclubus.com', u'typo', '51.254.28.160')
(u'dinersclubus.com', 'dinnersclubus.com.', 'dinnersclubus.com', u'typo', '51.254.28.162')
(u'dinersclubus.com', 'dinersclub-us.com.', 'dinersclub-us.com', u'typo', '165.160.15.20')
(u'dinersclubus.com', 'dinersclubs.com.', 'dinersclubs.com', u'typo', '165.160.13.20')
(u'dinersclubus.com', 'dinersclub-us.com.', 'dinersclub-us.com', u'typo', '165.160.13.20')
(u'dinersclubus.com', 'dinersclubusa.com.', 'dinersclubusa.com', u'typo', '165.160.15.20')
