(u'engadget.com', 'www-engadget.com.', 'www-engadget.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engadgwet.com.', 'engadgwet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engaddget.com.', 'engaddget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.tw.', 'engadget.tw', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.jp.', 'engadget.jp', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engasdget.com.', 'engasdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engtadget.com.', 'engtadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadzet.pl.', 'engadzet.pl', u'typo', '64.12.79.57')
(u'engadget.com', 'engadzet.pl.', 'engadzet.pl', u'typo', '64.12.89.186')
(u'engadget.com', '4ngadget.com.', '4ngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'egadget.cz.', 'egadget.cz', u'typo', '185.183.8.62')
(u'engadget.com', 'engadget.xxx.', 'engadget.xxx', 'wrongTLD', '199.253.28.9')
(u'engadget.com', 'engadgdt.com.', 'engadgdt.com', u'bits', '165.160.13.20')
(u'engadget.com', 'engaqdget.com.', 'engaqdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'egadget.ru.', 'egadget.ru', u'typo', '5.9.120.167')
(u'engadget.com', 'engadtget.com.', 'engadtget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'egadget.ch.', 'egadget.ch', u'typo', '194.230.72.49')
(u'engadget.com', 'ejgadget.com.', 'ejgadget.com', u'bits', '165.160.13.20')
(u'engadget.com', 'engadgeet.com.', 'engadgeet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.info.', 'engadget.info', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.no.', 'engadget.no', 'wrongTLD', '185.53.178.8')
(u'engadget.com', 'engadzet.pl.', 'engadzet.pl', u'typo', '149.174.107.97')
(u'engadget.com', 'engbadget.com.', 'engbadget.com', u'typo', '165.160.15.20')
