(u'flirt4free.com', 'flirtf4free.com.', 'flirtf4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.website.', 'flirt4free.website', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'fliret4free.com.', 'fliret4free.com', u'typo', '199.59.242.150')
(u'flirt4free.com', 'flirt4free.show.', 'flirt4free.show', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'fliry4free.com.', 'fliry4free.com', u'typo', '107.161.23.204')
(u'flirt4free.com', 'flirt-4free.de.', 'flirt-4free.de', u'typo', '83.133.96.246')
(u'flirt4free.com', 'flert4free.com.', 'flert4free.com', u'homo', '204.8.234.213')
(u'flirt4free.com', 'flirtfree.org.', 'flirtfree.org', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.sg.', 'flirt4free.sg', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.dk.', 'flirt4free.dk', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'fliry4free.com.', 'fliry4free.com', u'typo', '167.114.213.199')
(u'flirt4free.com', 'flirt44free.com.', 'flirt44free.com', u'typo', '45.79.110.98')
(u'flirt4free.com', 'flirt4free.net.nz.', 'flirt4free.net.nz', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirtfree.net.', 'flirtfree.net', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.be.', 'flirt4free.be', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'flirt4free.com.ag.', 'flirt4free.com.ag', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'fkirt4free.com.', 'fkirt4free.com', u'typo', '199.115.116.216')
(u'flirt4free.com', 'flirt4free.camera.', 'flirt4free.camera', 'wrongTLD', '141.8.225.76')
(u'flirt4free.com', 'flirt4free.party.', 'flirt4free.party', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flort4free.com.', 'flort4free.com', u'homo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.co.kr.', 'flirt4free.co.kr', 'wrongTLD', '72.52.4.122')
(u'flirt4free.com', 'flirt4free.io.', 'flirt4free.io', 'wrongTLD', '72.52.4.120')
(u'flirt4free.com', 'flirt4free.win.', 'flirt4free.win', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free.date.', 'flirt4free.date', 'wrongTLD', '209.99.40.220')
(u'flirt4free.com', 'www-flirt4free.com.', 'www-flirt4free.com', 'combo', '199.59.242.150')
(u'flirt4free.com', 'flirt4dree.com.', 'flirt4dree.com', u'bits', '167.114.213.199')
(u'flirt4free.com', 'fljrt4free.com.', 'fljrt4free.com', u'typo', '192.64.119.92')
(u'flirt4free.com', 'flirt4free.singles.', 'flirt4free.singles', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'fkirt4free.com.', 'fkirt4free.com', u'typo', '109.201.135.34')
(u'flirt4free.com', 'flart4free.com.', 'flart4free.com', u'homo', '199.59.242.150')
(u'flirt4free.com', 'flirt4frer.com.', 'flirt4frer.com', u'typo', '54.217.222.113')
(u'flirt4free.com', 'flirtfree.eu.', 'flirtfree.eu', u'typo', '72.52.4.120')
(u'flirt4free.com', 'flirt4gree.com.', 'flirt4gree.com', u'bits', '107.161.23.204')
(u'flirt4free.com', 'flirt4free.sk.', 'flirt4free.sk', 'wrongTLD', '217.31.49.20')
(u'flirt4free.com', 'flirt4free.org.in.', 'flirt4free.org.in', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'glirt4free.com.', 'glirt4free.com', u'bits', '164.132.212.72')
