(u'football365.com', 'football365.com.vn.', 'football365.com.vn', 'wrongTLD', '123.30.187.124')
(u'football365.com', 'football365.at.', 'football365.at', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'footbaml365.com.', 'footbaml365.com', u'bits', '52.4.209.250')
(u'football365.com', 'footall365.com.', 'footall365.com', u'typo', '103.224.212.222')
(u'football365.com', 'football35.com.', 'football35.com', u'typo', '208.91.197.39')
(u'football365.com', 'football265.com.', 'football265.com', u'bits', '54.72.9.51')
(u'football365.com', 'football365.si.', 'football365.si', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football345.com.', 'football345.com', u'bits', '159.203.78.233')
(u'football365.com', 'ofotball365.com.', 'ofotball365.com', u'typo', '185.53.177.20')
(u'football365.com', 'football365.uk.', 'football365.uk', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football365.se.', 'football365.se', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'foltball365.com.', 'foltball365.com', u'typo', '52.4.209.250')
(u'football365.com', 'football365.jp.', 'football365.jp', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'footbapl365.com.', 'footbapl365.com', u'typo', '52.4.209.250')
(u'football365.com', 'football365.com.ua.', 'football365.com.ua', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football366.tk.', 'football366.tk', u'typo', '195.20.40.127')
(u'football365.com', 'footgall365.com.', 'footgall365.com', u'typo', '52.4.209.250')
(u'football365.com', 'football365.com.pt.', 'football365.com.pt', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'foptball365.com.', 'foptball365.com', u'typo', '185.53.177.20')
(u'football365.com', 'football365.asia.', 'football365.asia', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'flotball365.com.', 'flotball365.com', u'typo', '52.4.209.250')
(u'football365.com', 'footbal365.co.uk.', 'footbal365.co.uk', u'typo', '54.72.130.67')
(u'football365.com', 'footvall365.com.', 'footvall365.com', u'typo', '52.4.209.250')
(u'football365.com', 'football356.com.', 'football356.com', u'typo', '50.63.202.22')
(u'football365.com', 'football365.hu.', 'football365.hu', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'fooyball365.com.', 'fooyball365.com', u'typo', '52.4.209.250')
(u'football365.com', 'footbal365.com.', 'footbal365.com', u'typo', '141.8.224.169')
(u'football365.com', 'football365.ie.', 'football365.ie', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football365.it.', 'football365.it', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football365.fr.', 'football365.fr', 'wrongTLD', '104.27.161.16')
(u'football365.com', 'football365.com.pl.', 'football365.com.pl', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football365-uk.com.', 'football365-uk.com', 'combo', '104.28.11.85')
(u'football365.com', 'football365.nl.', 'football365.nl', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football365.de.', 'football365.de', 'wrongTLD', '185.26.230.129')
(u'football365.com', 'football365.fr.', 'football365.fr', 'wrongTLD', '104.27.160.16')
(u'football365.com', 'football365-uk.com.', 'football365-uk.com', 'combo', '104.28.10.85')
(u'football365.com', 'fooball365.com.', 'fooball365.com', u'typo', '103.224.212.222')
(u'football365.com', 'footbll365.com.', 'footbll365.com', u'typo', '54.217.222.113')
(u'football365.com', 'football465.com.', 'football465.com', u'typo', '209.15.13.134')
