(u'freeones.com', 'freeones.tw.', 'freeones.tw', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeone.co.kr.', 'freeone.co.kr', u'typo', '222.122.52.154')
(u'freeones.com', 'freeones.tw.', 'freeones.tw', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeeones.com.', 'freeeones.com', u'typo', '45.32.2.91')
(u'freeones.com', 'freeones.tw.', 'freeones.tw', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonez.com.', 'freeonez.com', u'typo', '209.15.13.134')
(u'freeones.com', 'freeeones.com.', 'freeeones.com', u'typo', '45.32.2.92')
(u'freeones.com', 'creeones.com.', 'creeones.com', u'typo', '173.239.8.164')
(u'freeones.com', 'freeeones.com.', 'freeeones.com', u'typo', '45.32.2.93')
(u'freeones.com', 'freezones.cf.', 'freezones.cf', u'typo', '216.239.36.21')
(u'freeones.com', 'freeeones.com.', 'freeeones.com', u'typo', '45.32.2.94')
(u'freeones.com', 'treeones.com.', 'treeones.com', u'typo', '185.53.179.8')
(u'freeones.com', 'freeones.website.', 'freeones.website', 'wrongTLD', '69.172.201.153')
(u'freeones.com', 'freezones.ml.', 'freezones.ml', u'typo', '195.20.53.249')
(u'freeones.com', 'freones.ru.', 'freones.ru', u'typo', '185.53.179.40')
(u'freeones.com', 'freezones.hn.', 'freezones.hn', u'typo', '192.185.71.147')
(u'freeones.com', 'freoones.com.', 'freoones.com', u'homo', '72.52.4.120')
(u'freeones.com', 'freezones.org.', 'freezones.org', u'typo', '206.188.192.185')
(u'freeones.com', 'freeone.xxx.', 'freeone.xxx', u'typo', '199.253.28.9')
(u'freeones.com', 'freeones.email.', 'freeones.email', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeone.net.', 'freeone.net', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.email.', 'freeones.email', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freones.com.', 'freones.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeonnes.com.', 'freeonnes.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.email.', 'freeones.email', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.email.', 'freeones.email', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freezones.cf.', 'freezones.cf', u'typo', '216.239.34.21')
(u'freeones.com', 'freeonew.com.', 'freeonew.com', u'bits', '69.172.201.153')
(u'freeones.com', 'freeones.to.', 'freeones.to', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.sexy.', 'freeones.sexy', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.ph.', 'freeones.com.ph', 'wrongTLD', '45.79.222.138')
(u'freeones.com', 'freeones.to.', 'freeones.to', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.co.nz.', 'freeones.co.nz', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.sexy.', 'freeones.sexy', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.sexy.', 'freeones.sexy', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.co.nz.', 'freeones.co.nz', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.to.', 'freeones.to', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeonees.com.', 'freeonees.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.co.nz.', 'freeones.co.nz', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.to.', 'freeones.to', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.sexy.', 'freeones.sexy', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeone.us.', 'freeone.us', u'typo', '72.52.4.120')
(u'freeones.com', 'freeonrs.com.', 'freeonrs.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.co.nz.', 'freeones.co.nz', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'fteeones.com.', 'fteeones.com', u'typo', '185.53.178.6')
(u'freeones.com', 'freeones.com.gt.', 'freeones.com.gt', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeoney.pw.', 'freeoney.pw', u'typo', '141.8.226.58')
(u'freeones.com', 'freeones.net.', 'freeones.net', 'wrongTLD', '72.52.4.120')
(u'freeones.com', 'freeines.com.', 'freeines.com', u'homo', '69.172.201.153')
(u'freeones.com', 'freeones.com.gt.', 'freeones.com.gt', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.gt.', 'freeones.com.gt', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.gt.', 'freeones.com.gt', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freepones.com.', 'freepones.com', u'typo', '199.191.50.73')
(u'freeones.com', 'freeonus.com.', 'freeonus.com', u'homo', '184.168.221.41')
(u'freeones.com', 'freeones.com.ua.', 'freeones.com.ua', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.ua.', 'freeones.com.ua', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.ua.', 'freeones.com.ua', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.pe.', 'freeones.com.pe', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.ua.', 'freeones.com.ua', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.com.pe.', 'freeones.com.pe', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.pe.', 'freeones.com.pe', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.pe.', 'freeones.com.pe', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freezones.cf.', 'freezones.cf', u'typo', '216.239.32.21')
(u'freeones.com', 'freeones.de.', 'freeones.de', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.de.', 'freeones.de', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'frreeones.com.', 'frreeones.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.de.', 'freeones.de', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeonesw.com.', 'freeonesw.com', u'typo', '95.211.219.65')
(u'freeones.com', 'freeones.de.', 'freeones.de', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'greeones.com.', 'greeones.com', u'bits', '185.53.178.9')
(u'freeones.com', 'freeones.today.', 'freeones.today', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.lu.', 'freeones.lu', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.today.', 'freeones.today', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.uy.', 'freeones.uy', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.lu.', 'freeones.lu', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.uy.', 'freeones.uy', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.today.', 'freeones.today', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.lu.', 'freeones.lu', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.lu.', 'freeones.lu', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.tv.', 'freeones.tv', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.uy.', 'freeones.uy', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.today.', 'freeones.today', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonee.com.', 'freeonee.com', u'typo', '209.15.13.134')
(u'freeones.com', 'freeone.com.', 'freeone.com', u'typo', '23.253.58.227')
(u'freeones.com', 'freeones.uy.', 'freeones.uy', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonesw.com.', 'freeonesw.com', u'typo', '69.162.80.54')
(u'freeones.com', 'freeones.tv.', 'freeones.tv', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'fresones.es.', 'fresones.es', u'typo', '72.52.4.120')
(u'freeones.com', 'freeonesw.com.', 'freeonesw.com', u'typo', '69.162.80.55')
(u'freeones.com', 'freeones.tv.', 'freeones.tv', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.us.', 'freeones.us', 'wrongTLD', '208.91.197.104')
(u'freeones.com', 'freeones.tv.', 'freeones.tv', 'wrongTLD', '45.32.2.94')
