(u'gamestop.com', 'gamestop.com.ua.', 'gamestop.com.ua', 'wrongTLD', '54.228.181.32')
(u'gamestop.com', 'gamestiop.com.', 'gamestiop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamstop.it.', 'gamstop.it', u'typo', '54.72.9.51')
(u'gamestop.com', 'gamastop.com.', 'gamastop.com', u'homo', '23.22.216.234')
(u'gamestop.com', 'gamest9p.com.', 'gamest9p.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamesdtop.com.', 'gamesdtop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gametop.xyz.', 'gametop.xyz', u'typo', '103.232.215.143')
(u'gamestop.com', 'gamestoop.com.', 'gamestoop.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamestop.li.', 'gamestop.li', 'wrongTLD', '165.160.15.20')
(u'gamestop.com', 'gamrestop.com.', 'gamrestop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamestopx.com.', 'gamestopx.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gametop.in.', 'gametop.in', u'typo', '69.162.80.60')
(u'gamestop.com', 'gamestoo.com.', 'gamestoo.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'ganmestop.com.', 'ganmestop.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamesstop.it.', 'gamesstop.it', u'typo', '185.53.179.7')
(u'gamestop.com', 'gamespop.pw.', 'gamespop.pw', u'bits', '104.216.136.199')
(u'gamestop.com', 'gamestopr.com.', 'gamestopr.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamestp.co.uk.', 'gamestp.co.uk', u'typo', '103.224.182.243')
(u'gamestop.com', 'gamwestop.com.', 'gamwestop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestor.net.', 'gamestor.net', u'bits', '23.22.216.234')
(u'gamestop.com', 'galestop.com.', 'galestop.com', u'bits', '52.52.18.176')
(u'gamestop.com', 'gamestoip.com.', 'gamestoip.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gamestlp.com.', 'gamestlp.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'celebrity-gamestop.com.', 'celebrity-gamestop.com', 'combo', '50.63.202.20')
(u'gamestop.com', 'game4stop.com.', 'game4stop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamesttop.com.', 'gamesttop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamnestop.com.', 'gamnestop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestyop.com.', 'gamestyop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamesytop.com.', 'gamesytop.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamwstop.com.', 'gamwstop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gameytop.ru.', 'gameytop.ru', u'typo', '91.231.98.105')
(u'gamestop.com', 'gamestopn.com.', 'gamestopn.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestopt.com.', 'gamestopt.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gameetop.com.', 'gameetop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gameestop.com.', 'gameestop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'ganestop.com.', 'ganestop.com', u'homo', '141.8.224.25')
(u'gamestop.com', 'gamestop.gr.', 'gamestop.gr', 'wrongTLD', '72.52.14.123')
(u'gamestop.com', 'gaamestop.com.', 'gaamestop.com', u'typo', '85.159.233.41')
(u'gamestop.com', 'gamestpop.com.', 'gamestpop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamkestop.com.', 'gamkestop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamwestop.com.', 'gamwestop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gamestopc.com.', 'gamestopc.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gfamestop.com.', 'gfamestop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamedstop.com.', 'gamedstop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gampestop.com.', 'gampestop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestolp.com.', 'gamestolp.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamsstop.com.', 'gamsstop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gamewtop.com.', 'gamewtop.com', u'bits', '52.86.163.26')
(u'gamestop.com', 'games6op.com.', 'games6op.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamestop.net.', 'gamestop.net', 'wrongTLD', '107.154.108.58')
(u'gamestop.com', 'gamestgop.com.', 'gamestgop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestpp.com.', 'gamestpp.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestops.net.', 'gamestops.net', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamestp.com.', 'gamestp.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamesfop.com.', 'gamesfop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestop.li.', 'gamestop.li', 'wrongTLD', '165.160.13.20')
(u'gamestop.com', 'gameastop.com.', 'gameastop.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'game-stop.net.', 'game-stop.net', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamestop.nu.', 'gamestop.nu', 'wrongTLD', '185.53.178.6')
(u'gamestop.com', 'gamesatop.com.', 'gamesatop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'game-stop.co.uk.', 'game-stop.co.uk', u'typo', '94.136.40.51')
(u'gamestop.com', 'gamesrop.com.', 'gamesrop.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamextop.com.', 'gamextop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestopm.com.', 'gamestopm.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestkp.com.', 'gamestkp.com', u'bits', '23.22.216.234')
(u'gamestop.com', 'agmestop.com.', 'agmestop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gqmestop.com.', 'gqmestop.com', u'bits', '52.52.64.247')
(u'gamestop.com', 'gamstop.com.', 'gamstop.com', u'typo', '69.6.27.100')
(u'gamestop.com', 'gamest0p.com.', 'gamest0p.com', u'homo', '52.52.18.176')
(u'gamestop.com', 'gammestop.com.', 'gammestop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamsetop.com.', 'gamsetop.com', u'typo', '37.48.65.145')
(u'gamestop.com', 'gamesdtop.com.', 'gamesdtop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestopp.net.', 'gamestopp.net', u'typo', '23.22.216.234')
(u'gamestop.com', 'gapestop.com.', 'gapestop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamestop.center.', 'gamestop.center', 'wrongTLD', '69.64.147.32')
(u'gamestop.com', 'gamespop.com.', 'gamespop.com', u'bits', '98.124.245.24')
(u'gamestop.com', 'gammstop.com.', 'gammstop.com', u'bits', '52.52.18.176')
(u'gamestop.com', 'gamestop.club.', 'gamestop.club', 'wrongTLD', '23.254.136.121')
(u'gamestop.com', 'gamrestop.com.', 'gamrestop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestgop.com.', 'gamestgop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gqamestop.com.', 'gqamestop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamesstop.com.', 'gamesstop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gamestpp.com.', 'gamestpp.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'games-top.com.', 'games-top.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gametop.ml.', 'gametop.ml', u'typo', '195.20.34.211')
(u'gamestop.com', 'gamestopp.com.', 'gamestopp.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamewstop.com.', 'gamewstop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gamastop.com.', 'gamastop.com', u'homo', '52.52.18.176')
(u'gamestop.com', 'gmaestop.com.', 'gmaestop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gametop.club.', 'gametop.club', u'typo', '104.18.47.94')
(u'gamestop.com', 'gamedtop.com.', 'gamedtop.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamestope.com.', 'gamestope.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gamestoop.com.', 'gamestoop.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'gametop.us.', 'gametop.us', u'typo', '82.165.35.18')
(u'gamestop.com', 'gamesrtop.com.', 'gamesrtop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gamesto0p.com.', 'gamesto0p.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gamesttop.com.', 'gamesttop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gametop.ca.', 'gametop.ca', u'typo', '199.59.242.150')
(u'gamestop.com', 'games5op.com.', 'games5op.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gametop.win.', 'gametop.win', u'typo', '23.234.27.209')
(u'gamestop.com', 'gamestoip.com.', 'gamestoip.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'gamestopr.com.', 'gamestopr.com', u'typo', '52.52.18.176')
(u'gamestop.com', 'games-top.xyz.', 'games-top.xyz', u'typo', '94.156.217.126')
(u'gamestop.com', 'gamestox.com.', 'gamestox.com', u'bits', '23.22.216.234')
(u'gamestop.com', 'bamestop.com.', 'bamestop.com', u'typo', '52.86.163.26')
(u'gamestop.com', 'gameetop.com.', 'gameetop.com', u'typo', '23.22.216.234')
(u'gamestop.com', 'play-free-online-games-gamestop-com.ws.', 'play-free-online-games-gamestop-com.ws', 'combo', '64.70.19.203')
(u'gamestop.com', 'gomestop.com.', 'gomestop.com', u'homo', '23.22.216.234')
(u'gamestop.com', 'gsmestop.com.', 'gsmestop.com', u'typo', '52.52.64.247')
(u'gamestop.com', 'gamerstop.org.', 'gamerstop.org', u'typo', '192.185.226.161')
