(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.160')
(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.163')
(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.166')
(u'gruppocarige.it', 'gruppocarige.fr.', 'gruppocarige.fr', 'wrongTLD', '195.246.209.18')
(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.72')
(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.74')
(u'gruppocarige.it', 'grupocarige.com.', 'grupocarige.com', u'typo', '23.254.144.239')
(u'gruppocarige.it', 'gruppocarife.it.', 'gruppocarife.it', u'bits', '193.148.38.106')
(u'gruppocarige.it', 'gruppocarige.eu.', 'gruppocarige.eu', 'wrongTLD', '195.110.124.188')
(u'gruppocarige.it', 'gruppocarige.ir.', 'gruppocarige.ir', 'wrongTLD', '107.181.179.27')
(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.151')
(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.154')
(u'gruppocarige.it', 'gruppocarige.cloud.', 'gruppocarige.cloud', 'wrongTLD', '62.149.128.157')
