(u'hollywoodreporter.com', 'holywoodreporter.com.', 'holywoodreporter.com', u'typo', '208.73.210.217')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.61')
(u'hollywoodreporter.com', 'hollywooreporter.com.', 'hollywooreporter.com', u'typo', '45.33.9.234')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.68')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.69')
(u'hollywoodreporter.com', 'bollywoodreporter.net.', 'bollywoodreporter.net', u'typo', '216.239.38.21')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.20')
(u'hollywoodreporter.com', 'hollywoordreporter.com.', 'hollywoordreporter.com', u'typo', '173.239.8.164')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.23')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.144')
(u'hollywoodreporter.com', 'ihollywoodreporter.com.', 'ihollywoodreporter.com', u'homo', '50.63.202.39')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.28')
(u'hollywoodreporter.com', 'hollywoodreporter.online.', 'hollywoodreporter.online', 'wrongTLD', '108.167.146.23')
(u'hollywoodreporter.com', 'hollywoodreporter.news.', 'hollywoodreporter.news', 'wrongTLD', '69.64.147.242')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.215')
(u'hollywoodreporter.com', 'bollywoodreporter.net.', 'bollywoodreporter.net', u'typo', '207.174.213.34')
(u'hollywoodreporter.com', 'bollywoodreporter.net.', 'bollywoodreporter.net', u'typo', '216.239.36.21')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.35')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.132')
(u'hollywoodreporter.com', 'hollywooreporter.com.', 'hollywooreporter.com', u'typo', '45.56.69.72')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.174')
