(u'homedepot.com', 'homedepotd.com.', 'homedepotd.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedspot.com.', 'homedspot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedrepot.com.', 'homedrepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedepotj.com.', 'homedepotj.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepot.com.gr.', 'homedepot.com.gr', 'wrongTLD', '207.11.7.77')
(u'homedepot.com', 'home4depot.com.', 'home4depot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepet.com.', 'homedepet.com', u'homo', '23.22.216.234')
(u'homedepot.com', 'homedepokt.com.', 'homedepokt.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedepo5.com.', 'homedepo5.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homewdepot.com.', 'homewdepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'iomedepot.com.', 'iomedepot.com', u'bits', '52.52.64.247')
(u'homedepot.com', 'homedpot.com.', 'homedpot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedpeot.com.', 'homedpeot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'the-homedepot.net.', 'the-homedepot.net', 'combo', '52.52.18.176')
(u'homedepot.com', 'homedepof.com.', 'homedepof.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'cti-homedepot.com.', 'cti-homedepot.com', 'combo', '184.168.221.32')
(u'homedepot.com', 'homedep0ot.com.', 'homedep0ot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homsdepot.com.', 'homsdepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepotx.com.', 'homedepotx.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'mx.3d-homedepot.com.', 'mx.3d-homedepot.com', 'combo', '66.96.142.50')
(u'homedepot.com', 'homedepot.it.', 'homedepot.it', 'wrongTLD', '109.236.0.250')
(u'homedepot.com', 'mx.3d-homedepot.com.', 'mx.3d-homedepot.com', 'combo', '66.96.142.51')
