(u'huffingtonpost.com', 'huffingtonpost.us.', 'huffingtonpost.us', 'wrongTLD', '54.72.9.51')
(u'huffingtonpost.com', 'huffingtonpost.online.', 'huffingtonpost.online', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.news.', 'huffingtonpost.news', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposr.com.', 'huffingtonposr.com', u'typo', '37.48.65.136')
(u'huffingtonpost.com', 'huffingtonpoet.com.', 'huffingtonpoet.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposto.com.', 'huffingtonposto.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.dk.', 'huffingtonpost.dk', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.nl.', 'huffingtonpost.nl', 'wrongTLD', '144.76.0.242')
(u'huffingtonpost.com', 'huffingtonpost.cm.', 'huffingtonpost.cm', 'wrongTLD', '85.25.199.30')
(u'huffingtonpost.com', 'huffingtonpost.com.pt.', 'huffingtonpost.com.pt', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtnpost.com.', 'huffingtnpost.com', u'typo', '208.91.196.152')
(u'huffingtonpost.com', 'huffjingtonpost.com.', 'huffjingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.ng.', 'huffingtonpost.ng', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'hufgfingtonpost.com.', 'hufgfingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'lhuffingtonpost.fr.', 'lhuffingtonpost.fr', u'homo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.ch.', 'huffingtonpost.ch', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpoxst.com.', 'huffingtonpoxst.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffinbgtonpost.com.', 'huffinbgtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingt5onpost.com.', 'huffingt5onpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtoinpost.com.', 'huffingtoinpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposzt.com.', 'huffingtonposzt.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposr.com.', 'huffingtonposr.com', u'typo', '216.157.88.23')
(u'huffingtonpost.com', 'huffingtonpostf.com.', 'huffingtonpostf.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hutfingtonpost.com.', 'hutfingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.com.au.', 'huffingtonpost.com.au', 'wrongTLD', '149.174.110.102')
(u'huffingtonpost.com', 'huffingtonpost.be.', 'huffingtonpost.be', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffigntonpost.com.', 'huffigntonpost.com', u'typo', '51.254.28.160')
(u'huffingtonpost.com', 'huffingtonposr.com.', 'huffingtonposr.com', u'typo', '216.157.88.24')
(u'huffingtonpost.com', 'huffingtkonpost.com.', 'huffingtkonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.wiki.', 'huffingtonpost.wiki', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.dz.', 'huffingtonpost.dz', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'hufcingtonpost.com.', 'hufcingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.com.pl.', 'huffingtonpost.com.pl', 'wrongTLD', '165.160.15.20')
