(u'icy-veins.com', 'icy-viens.com.', 'icy-viens.com', u'typo', '174.137.132.42')
(u'icy-veins.com', 'icyveins.org.', 'icyveins.org', u'typo', '213.186.33.5')
(u'icy-veins.com', 'icyveins.net.', 'icyveins.net', u'typo', '213.186.33.5')
(u'icy-veins.com', 'icyveins.com.', 'icyveins.com', u'typo', '213.186.33.5')
(u'icy-veins.com', 'icy-veins.fr.', 'icy-veins.fr', 'wrongTLD', '213.186.33.5')
(u'icy-veins.com', 'ivy-veins.com.', 'ivy-veins.com', u'typo', '103.224.182.241')
(u'icy-veins.com', 'icy-vains.com.', 'icy-vains.com', u'homo', '95.211.219.67')
(u'icy-veins.com', 'icy-vein.com.', 'icy-vein.com', u'typo', '174.137.132.42')
(u'icy-veins.com', 'icy-veins.org.', 'icy-veins.org', 'wrongTLD', '213.186.33.5')
(u'icy-veins.com', 'icy-veins.net.', 'icy-veins.net', 'wrongTLD', '213.186.33.5')
(u'icy-veins.com', 'icy-venis.com.', 'icy-venis.com', u'typo', '103.224.212.222')
