(u'intesasanpaolo.com', 'intesasanpaolo.in.', 'intesasanpaolo.in', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.top.', 'intesasanpaolo.top', 'wrongTLD', '184.95.38.4')
(u'intesasanpaolo.com', 'intesasanpaolo.hk.', 'intesasanpaolo.hk', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.club.', 'intesasanpaolo.club', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.com.ph.', 'intesasanpaolo.com.ph', 'wrongTLD', '45.79.222.138')
(u'intesasanpaolo.com', 'intesasampaolo.pw.', 'intesasampaolo.pw', u'homo', '141.8.226.58')
(u'intesasanpaolo.com', 'intesasanpaolo.com.br.', 'intesasanpaolo.com.br', 'wrongTLD', '193.227.214.38')
(u'intesasanpaolo.com', 'intesasanpaolo.space.', 'intesasanpaolo.space', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpallo.com.', 'intesasanpallo.com', u'typo', '50.63.202.59')
(u'intesasanpaolo.com', 'inyesasanpaolo.com.', 'inyesasanpaolo.com', u'typo', '193.227.214.38')
(u'intesasanpaolo.com', 'intesasanpaolo.vip.', 'intesasanpaolo.vip', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.tel.', 'intesasanpaolo.tel', 'wrongTLD', '52.50.143.27')
(u'intesasanpaolo.com', 'intesasanpaolo.ir.', 'intesasanpaolo.ir', 'wrongTLD', '193.227.214.38')
(u'intesasanpaolo.com', 'intesasanpaolo.fm.', 'intesasanpaolo.fm', 'wrongTLD', '173.230.131.38')
(u'intesasanpaolo.com', 'intesasanpaolo.xxx.', 'intesasanpaolo.xxx', 'wrongTLD', '199.253.28.9')
(u'intesasanpaolo.com', 'intesa-sanpaolo.website.', 'intesa-sanpaolo.website', u'typo', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.kr.', 'intesasanpaolo.kr', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.site.', 'intesasanpaolo.site', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.li.', 'intesasanpaolo.li', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.xxx.', 'intesasanpaolo.xxx', 'wrongTLD', '199.253.28.249')
(u'intesasanpaolo.com', 'intesasanpaolo.sg.', 'intesasanpaolo.sg', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.ua.', 'intesasanpaolo.ua', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.ch.', 'intesasanpaolo.ch', 'wrongTLD', '184.95.38.194')
(u'intesasanpaolo.com', 'intesasanpaolo.co.in.', 'intesasanpaolo.co.in', 'wrongTLD', '184.95.38.194')
