(u'japanpost.jp', 'japanpost-group.am.', 'japanpost-group.am', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-group.online.', 'japanpost-group.online', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost.org.', 'japanpost.org', 'wrongTLD', '150.95.255.38')
(u'japanpost.jp', 'japanpost.xxx.', 'japanpost.xxx', 'wrongTLD', '199.253.28.9')
(u'japanpost.jp', 'japanpost-arubaito.net.', 'japanpost-arubaito.net', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-holdings.online.', 'japanpost-holdings.online', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-arubaito.com.', 'japanpost-arubaito.com', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japan-post.jp.', 'japan-post.jp', u'typo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-holdings.asia.', 'japanpost-holdings.asia', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-group.tel.', 'japanpost-group.tel', 'combo', '52.50.143.27')
(u'japanpost.jp', 'japanpost.pw.', 'japanpost.pw', 'wrongTLD', '141.8.226.58')
(u'japanpost.jp', 'japan-post.ws.', 'japan-post.ws', u'typo', '64.70.19.203')
(u'japanpost.jp', 'japanpost.xxx.', 'japanpost.xxx', 'wrongTLD', '199.253.28.249')
(u'japanpost.jp', 'japanpost-hebel.com.', 'japanpost-hebel.com', 'combo', '163.44.76.141')
(u'japanpost.jp', 'japanpost-holdings.org.', 'japanpost-holdings.org', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-holdings.net.', 'japanpost-holdings.net', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-group.org.', 'japanpost-group.org', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-group.net.', 'japanpost-group.net', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost.cm.', 'japanpost.cm', 'wrongTLD', '150.95.255.38')
(u'japanpost.jp', 'japanpost.net.', 'japanpost.net', 'wrongTLD', '72.52.4.121')
(u'japanpost.jp', 'japan-post.info.', 'japan-post.info', u'typo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-group.xn--tckwe.', u'japanpost-group.\u30b3\u30e0', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-group.in.net.', 'japanpost-group.in.net', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost.club.', 'japanpost.club', 'wrongTLD', '72.52.4.121')
(u'japanpost.jp', 'japanpost.de.', 'japanpost.de', 'wrongTLD', '185.53.178.8')
(u'japanpost.jp', 'japanpost-holdings.info.', 'japanpost-holdings.info', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanport.org.', 'japanport.org', u'bits', '219.118.71.30')
(u'japanpost.jp', 'japan-post.xn--tckwe.', u'japan-post.\u30b3\u30e0', u'typo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-job.net.', 'japanpost-job.net', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpot.com.', 'japanpot.com', u'typo', '219.94.129.239')
(u'japanpost.jp', 'japanport.net.', 'japanport.net', u'bits', '219.118.71.30')
(u'japanpost.jp', 'japanpost-bank.com.', 'japanpost-bank.com', 'combo', '210.172.132.153')
(u'japanpost.jp', 'japanpost.financial.', 'japanpost.financial', 'wrongTLD', '150.95.255.38')
(u'japanpost.jp', 'japanpost-job.com.', 'japanpost-job.com', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-holdings.xn--tckwe.', u'japanpost-holdings.\u30b3\u30e0', 'combo', '150.95.255.38')
(u'japanpost.jp', 'mail.saiyo-japanpost.com.', 'mail.saiyo-japanpost.com', 'combo', '153.122.59.59')
(u'japanpost.jp', 'japanpost.biz.', 'japanpost.biz', 'wrongTLD', '150.95.255.38')
(u'japanpost.jp', 'japanpost-ems.ml.', 'japanpost-ems.ml', 'combo', '195.20.52.56')
(u'japanpost.jp', 'japanpost-works.net.', 'japanpost-works.net', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost-group.ac.', 'japanpost-group.ac', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost.ws.', 'japanpost.ws', 'wrongTLD', '64.70.19.203')
(u'japanpost.jp', 'japanpost-works.com.', 'japanpost-works.com', 'combo', '150.95.255.38')
(u'japanpost.jp', 'japanpost.co.kr.', 'japanpost.co.kr', 'wrongTLD', '218.154.193.7')
(u'japanpost.jp', 'japan-post.mobi.', 'japan-post.mobi', u'typo', '150.95.255.38')
(u'japanpost.jp', 'japan-post.tel.', 'japan-post.tel', u'typo', '52.50.143.27')
(u'japanpost.jp', 'japanport.com.', 'japanport.com', u'bits', '72.52.4.121')
(u'japanpost.jp', 'japanpost.am.', 'japanpost.am', 'wrongTLD', '150.95.255.38')
(u'japanpost.jp', 'japan-post.com.', 'japan-post.com', u'typo', '59.106.113.175')
(u'japanpost.jp', 'japanpost.xn--tckwe.', u'japanpost.\u30b3\u30e0', 'wrongTLD', '150.95.255.38')
(u'japanpost.jp', 'japanmost.com.', 'japanmost.com', u'typo', '141.8.224.169')
(u'japanpost.jp', 'japan-post.org.', 'japan-post.org', u'typo', '150.95.255.38')
(u'japanpost.jp', 'japanpost.tel.', 'japanpost.tel', 'wrongTLD', '52.50.143.27')
