(u'just-eat.co.uk', 'justeat.link.', 'justeat.link', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.pk.', 'justeat.pk', u'typo', '143.95.104.80')
(u'just-eat.co.uk', 'just-eatz.com.', 'just-eatz.com', u'typo', '162.255.119.109')
(u'just-eat.co.uk', 'justeat.tw.', 'justeat.tw', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.jp.', 'justeat.jp', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.si.', 'justeat.si', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-fundays.com.', 'just-eat-fundays.com', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-orderwall.dk.', 'just-eat-orderwall.dk', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.com.my.', 'justeat.com.my', u'typo', '50.87.151.107')
(u'just-eat.co.uk', 'justeat.in.', 'justeat.in', u'typo', '104.16.11.11')
(u'just-eat.co.uk', 'justeat.uk.', 'justeat.uk', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'jost-eat.co.uk.', 'jost-eat.co.uk', u'homo', '79.170.40.4')
(u'just-eat.co.uk', 'justmeat.net.', 'justmeat.net', u'bits', '69.64.147.44')
(u'just-eat.co.uk', 'just-eat-plants.com.', 'just-eat-plants.com', 'combo', '184.168.221.62')
(u'just-eat.co.uk', 'justeat.link.', 'justeat.link', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.in.', 'justeat.in', u'typo', '104.16.10.11')
(u'just-eat.co.uk', 'justeat.pw.', 'justeat.pw', u'typo', '141.8.226.58')
(u'just-eat.co.uk', 'justeat.nu.', 'justeat.nu', u'typo', '52.59.167.84')
(u'just-eat.co.uk', 'justmeat.co.za.', 'justmeat.co.za', u'bits', '197.221.14.60')
(u'just-eat.co.uk', 'justeat.tw.', 'justeat.tw', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-huahin.com.', 'just-eat-huahin.com', 'combo', '184.168.221.49')
(u'just-eat.co.uk', 'justeat.jp.', 'justeat.jp', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.hu.', 'justeat.hu', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.gr.', 'justeat.gr', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.net.au.', 'justeat.net.au', u'typo', '202.72.184.151')
(u'just-eat.co.uk', 'justeat.technology.', 'justeat.technology', u'typo', '165.160.15.20')
