(u'literotica.com', 'ilterotica.com.', 'ilterotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literoticva.com.', 'literoticva.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literoticas.net.', 'literoticas.net', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.dk.', 'literotica.dk', 'wrongTLD', '185.26.230.130')
(u'literotica.com', 'literrotica.com.', 'literrotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litferotica.com.', 'litferotica.com', u'typo', '173.239.8.164')
(u'literotica.com', 'litrotica.com.', 'litrotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litgerotica.com.', 'litgerotica.com', u'typo', '199.191.50.73')
(u'literotica.com', 'literotica.ch.', 'literotica.ch', 'wrongTLD', '185.26.230.130')
(u'literotica.com', 'literoticas.com.', 'literoticas.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotrica.com.', 'literotrica.com', u'typo', '185.53.179.6')
(u'literotica.com', 'literoticai.com.', 'literoticai.com', u'typo', '185.53.178.8')
(u'literotica.com', 'literotica.fr.', 'literotica.fr', 'wrongTLD', '185.53.178.6')
(u'literotica.com', 'literotica-3d.com.', 'literotica-3d.com', 'combo', '98.124.245.24')
(u'literotica.com', 'iterotica.com.', 'iterotica.com', u'typo', '209.15.13.134')
(u'literotica.com', 'www-literotica.com.', 'www-literotica.com', 'combo', '103.224.182.218')
(u'literotica.com', 'literotica-free.com.', 'literotica-free.com', 'combo', '107.6.4.70')
(u'literotica.com', 'lietrotica.com.', 'lietrotica.com', u'typo', '103.224.182.218')
(u'literotica.com', 'lioterotica.com.', 'lioterotica.com', u'typo', '103.224.212.222')
(u'literotica.com', 'literotics.biz.', 'literotics.biz', u'typo', '69.64.147.33')
(u'literotica.com', 'literoyica.com.', 'literoyica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.ws.', 'literotica.ws', 'wrongTLD', '64.70.19.203')
(u'literotica.com', 'litrrotica.com.', 'litrrotica.com', u'typo', '103.224.212.229')
(u'literotica.com', 'literotical.com.', 'literotical.com', u'typo', '37.48.65.136')
(u'literotica.com', 'literoticw.com.', 'literoticw.com', u'typo', '98.124.245.24')
(u'literotica.com', 'liteerotica.org.', 'liteerotica.org', u'typo', '199.73.55.35')
(u'literotica.com', 'literotcia.com.', 'literotcia.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literoticar.com.', 'literoticar.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.xxx.', 'literotica.xxx', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotisa.com.', 'literotisa.com', u'bits', '98.124.245.24')
(u'literotica.com', 'literoltica.com.', 'literoltica.com', u'typo', '141.8.224.169')
(u'literotica.com', 'lit-erotica.com.', 'lit-erotica.com', u'typo', '96.30.7.178')
(u'literotica.com', 'lliterotica.net.', 'lliterotica.net', u'typo', '67.211.211.233')
(u'literotica.com', 'literotics.net.', 'literotics.net', u'typo', '185.53.179.15')
(u'literotica.com', 'literotica-vod.com.', 'literotica-vod.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literotca.com.', 'literotca.com', u'typo', '185.53.179.6')
(u'literotica.com', 'literotuica.com.', 'literotuica.com', u'typo', '69.172.201.153')
(u'literotica.com', 'literotica.net.', 'literotica.net', 'wrongTLD', '216.150.69.37')
