(u'livingsocial.com', 'livingsocial.co.il.', 'livingsocial.co.il', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.careers.', 'livingsocial.careers', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livinngsocial.com.', 'livinngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociap.com.', 'livingsociap.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsicial.com.', 'livingsicial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livingseocial.com.', 'livingseocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocjial.com.', 'livingsocjial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocikal.com.', 'livingsocikal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingwsocial.com.', 'livingwsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociasl.com.', 'livingsociasl.com', u'typo', '184.168.221.42')
(u'livingsocial.com', 'livjngsocial.com.', 'livjngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.menu.', 'livingsocial.menu', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsockial.com.', 'livingsockial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.com.jo.', 'livingsocial.com.jo', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsovcial.com.', 'livingsovcial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocialp.com.', 'livingsocialp.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingso9cial.com.', 'livingso9cial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livibngsocial.com.', 'livibngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.com.es.', 'livingsocial.com.es', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livinbsocial.com.', 'livinbsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial-shop.co.uk.', 'livingsocial-shop.co.uk', 'combo', '165.160.13.20')
(u'livingsocial.com', 'livingsociao.com.', 'livingsociao.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'kivingsocial.com.', 'kivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingskcial.com.', 'livingskcial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingsocials.ws.', 'livingsocials.ws', u'typo', '64.70.19.203')
(u'livingsocial.com', 'lkvingsocial.com.', 'lkvingsocial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livvingsocial.com.', 'livvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoicial.com.', 'livingsoicial.com', u'typo', '141.8.224.93')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '54.247.163.194')
(u'livingsocial.com', 'livlngsocial.com.', 'livlngsocial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'living-social.com.', 'living-social.com', u'typo', '185.53.178.6')
(u'livingsocial.com', 'livigsocial.com.', 'livigsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingdocial.com.', 'livingdocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociol.com.', 'livingsociol.com', u'homo', '141.8.224.195')
(u'livingsocial.com', 'livingsocial.sexy.', 'livingsocial.sexy', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocail.com.', 'livingsocail.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.online.', 'livingsocial.online', 'wrongTLD', '198.54.117.212')
(u'livingsocial.com', 'livingsocial.mobi.', 'livingsocial.mobi', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livings0cial.com.', 'livings0cial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livingskocial.com.', 'livingskocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'ivingsocial.com.', 'ivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'divingsocial.com.', 'divingsocial.com', u'bits', '98.124.199.40')
(u'livingsocial.com', 'licingsocial.com.', 'licingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'l8ivingsocial.com.', 'l8ivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livungsocial.com.', 'livungsocial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livinfsocial.com.', 'livinfsocial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingsociale.com.', 'livingsociale.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocizl.com.', 'livingsocizl.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.151')
(u'livingsocial.com', 'livingsocial.jobs.', 'livingsocial.jobs', 'wrongTLD', '199.91.50.125')
(u'livingsocial.com', 'livingsocial.nl.', 'livingsocial.nl', 'wrongTLD', '199.91.50.125')
(u'livingsocial.com', 'livingsociazl.com.', 'livingsociazl.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsolcial.com.', 'livingsolcial.com', u'typo', '141.8.224.93')
(u'livingsocial.com', 'livingsocisal.com.', 'livingsocisal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.154')
(u'livingsocial.com', 'livingscial.com.', 'livingscial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocisl.com.', 'livingsocisl.com', u'typo', '72.52.10.14')
