(u'localbitcoins.com', 'localbitcxoins.com.', 'localbitcxoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'lolcalbitcoins.com.', 'lolcalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcolins.com.', 'localbitcolins.com', u'typo', '98.124.199.119')
(u'localbitcoins.com', 'lokalbitcoins.biz.', 'lokalbitcoins.biz', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoinss.com.', 'localbitcoinss.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcokins.com.', 'localbitcokins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'loocalbitcoins.com.', 'loocalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.it.', 'localbitcoins.it', 'wrongTLD', '213.186.33.5')
(u'localbitcoins.com', 'lpocalbitcoins.com.', 'lpocalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.top.', 'localbitcoins.top', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'locvalbitcoins.com.', 'locvalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbutcoins.org.', 'localbutcoins.org', u'homo', '136.243.255.73')
(u'localbitcoins.com', 'localbitclins.com.', 'localbitclins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.72')
(u'localbitcoins.com', 'localbitcoin.es.', 'localbitcoin.es', u'typo', '37.152.88.54')
(u'localbitcoins.com', 'localbitcoind.com.', 'localbitcoind.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.74')
(u'localbitcoins.com', 'localbitckins.com.', 'localbitckins.com', u'bits', '141.8.224.169')
(u'localbitcoins.com', 'localbitcoens.com.', 'localbitcoens.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'localbicoins.com.', 'localbicoins.com', u'typo', '192.155.81.104')
(u'localbitcoins.com', 'lcoalbitcoins.com.', 'lcoalbitcoins.com', u'typo', '50.63.202.55')
(u'localbitcoins.com', 'localbitcoins.life.', 'localbitcoins.life', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'localbitcoin.com.br.', 'localbitcoin.com.br', u'typo', '192.155.81.104')
(u'localbitcoins.com', 'ocalbitcoins.com.', 'ocalbitcoins.com', u'typo', '213.247.47.190')
(u'localbitcoins.com', 'localbigcoins.com.', 'localbigcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoinsa.com.', 'localbitcoinsa.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'licalbitcoins.com.', 'licalbitcoins.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoijs.com.', 'localbitcoijs.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbutcoins.com.', 'localbutcoins.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'localbircoins.com.', 'localbircoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'llcalbitcoins.com.', 'llcalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.kim.', 'localbitcoins.kim', 'wrongTLD', '136.243.255.77')
