(u'mathworks.com', 'matworks.me.', 'matworks.me', u'typo', '192.0.78.24')
(u'mathworks.com', 'mathwprks.com.', 'mathwprks.com', u'typo', '141.8.224.195')
(u'mathworks.com', 'mathworks.pt.', 'mathworks.pt', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'matworks.me.', 'matworks.me', u'typo', '192.0.78.25')
(u'mathworks.com', 'mathworks.jobs.', 'mathworks.jobs', 'wrongTLD', '144.212.130.17')
(u'mathworks.com', 'mathworks.org.', 'mathworks.org', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'mathworks.com.pl.', 'mathworks.com.pl', 'wrongTLD', '144.212.130.17')
(u'mathworks.com', 'mathworks.net.', 'mathworks.net', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'mathworks-webinars.de.', 'mathworks-webinars.de', 'combo', '178.63.85.70')
(u'mathworks.com', 'mathworks.com.ua.', 'mathworks.com.ua', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'mathworks.com.au.', 'mathworks.com.au', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'mathsworks.com.', 'mathsworks.com', u'typo', '54.72.9.51')
(u'mathworks.com', 'oathworks.com.', 'oathworks.com', u'bits', '72.52.4.122')
(u'mathworks.com', 'pathworks.org.', 'pathworks.org', u'typo', '192.185.29.25')
(u'mathworks.com', 'mathworks.com.pt.', 'mathworks.com.pt', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'mathwerks.com.', 'mathwerks.com', u'homo', '69.163.192.41')
(u'mathworks.com', 'mail.mathworks-korea-conference.co.kr.', 'mail.mathworks-korea-conference.co.kr', 'combo', '113.30.66.163')
(u'mathworks.com', 'mathworks-tutoring.com.', 'mathworks-tutoring.com', 'combo', '173.254.28.15')
(u'mathworks.com', 'mathworks-training.com.', 'mathworks-training.com', 'combo', '141.8.224.93')
(u'mathworks.com', 'mathworls.com.', 'mathworls.com', u'typo', '54.72.9.51')
(u'mathworks.com', 'mathworks.eu.', 'mathworks.eu', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'mathworks.download.', 'mathworks.download', 'wrongTLD', '72.52.10.14')
(u'mathworks.com', 'mathworks.hk.', 'mathworks.hk', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'math-works.com.', 'math-works.com', u'typo', '176.74.176.187')
(u'mathworks.com', 'mathworks.pl.', 'mathworks.pl', 'wrongTLD', '144.212.244.17')
(u'mathworks.com', 'nathworks.com.', 'nathworks.com', u'homo', '37.128.147.16')
(u'mathworks.com', 'mathworks.com.pk.', 'mathworks.com.pk', 'wrongTLD', '185.176.43.78')
(u'mathworks.com', 'matworks.org.', 'matworks.org', u'typo', '216.239.139.44')
(u'mathworks.com', 'mathworks.asia.', 'mathworks.asia', 'wrongTLD', '144.212.130.17')
(u'mathworks.com', 'mathworks.ee.', 'mathworks.ee', 'wrongTLD', '144.212.130.17')
(u'mathworks.com', 'mathwork.net.', 'mathwork.net', u'typo', '146.148.34.125')
(u'mathworks.com', 'mathworks.jp.', 'mathworks.jp', 'wrongTLD', '144.212.130.17')
(u'mathworks.com', 'mathworks.lat.', 'mathworks.lat', 'wrongTLD', '72.52.10.14')
(u'mathworks.com', 'mathworks.group.', 'mathworks.group', 'wrongTLD', '72.52.10.14')
