(u'metrobankonline.co.uk', 'logon-metrobankonline.net.', 'logon-metrobankonline.net', 'combo', '62.233.121.64')
(u'metrobankonline.co.uk', 'metrobankonllne.com.', 'metrobankonllne.com', u'homo', '47.88.55.29')
(u'metrobankonline.co.uk', 'logon-metrobankonline.com.', 'logon-metrobankonline.com', 'combo', '62.233.121.64')
(u'metrobankonline.co.uk', 'metrobankonliine.co.uk.', 'metrobankonliine.co.uk', u'typo', '216.239.36.21')
(u'metrobankonline.co.uk', 'metrobankonlline.com.', 'metrobankonlline.com', u'typo', '72.52.4.122')
(u'metrobankonline.co.uk', 'metrobankonliine.co.uk.', 'metrobankonliine.co.uk', u'typo', '216.239.34.21')
(u'metrobankonline.co.uk', 'metrobank0nline.co.uk.', 'metrobank0nline.co.uk', u'homo', '62.233.121.64')
(u'metrobankonline.co.uk', 'metrobnkonline.london.', 'metrobnkonline.london', u'typo', '62.233.121.64')
(u'metrobankonline.co.uk', 'metrobinkonline.com.', 'metrobinkonline.com', u'homo', '91.210.106.100')
(u'metrobankonline.co.uk', 'metrobankonliine.co.uk.', 'metrobankonliine.co.uk', u'typo', '216.239.32.21')
(u'metrobankonline.co.uk', 'logon-metrobankonline.org.uk.', 'logon-metrobankonline.org.uk', 'combo', '62.233.121.64')
(u'metrobankonline.co.uk', 'metrobankonline.pl.', 'metrobankonline.pl', 'wrongTLD', '213.186.33.5')
(u'metrobankonline.co.uk', 'selfservice-metrobankonline.org.', 'selfservice-metrobankonline.org', 'combo', '62.233.121.64')
(u'metrobankonline.co.uk', 'metrobankonline.website.', 'metrobankonline.website', 'wrongTLD', '94.136.40.82')
(u'metrobankonline.co.uk', 'metrobankonline.london.', 'metrobankonline.london', 'wrongTLD', '62.233.121.64')
(u'metrobankonline.co.uk', 'personal-metrobankonline.pw.', 'personal-metrobankonline.pw', 'combo', '94.242.240.201')
(u'metrobankonline.co.uk', 'selfservice-metrobankonline.net.', 'selfservice-metrobankonline.net', 'combo', '62.233.121.64')
(u'metrobankonline.co.uk', 'metrobankonline.org.', 'metrobankonline.org', 'wrongTLD', '62.233.121.64')
