(u'myetherwallet.com', 'myuetherwallet.com.', 'myuetherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'mygetherwallet.com.', 'mygetherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetbherwallet.com.', 'myetbherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myethetrwallet.com.', 'myethetrwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwlalet.com.', 'myetherwlalet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwalpet.com.', 'myetherwalpet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwall3t.com.', 'myetherwall3t.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwaolet.com.', 'myetherwaolet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myeyherwallet.com.', 'myeyherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myethedrwallet.com.', 'myethedrwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwalletr.com.', 'myetherwalletr.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwailet.com.', 'myetherwailet.com', u'homo', '192.64.119.170')
(u'myetherwallet.com', 'myetherwaplet.com.', 'myetherwaplet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherawallet.com.', 'myetherawallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwasllet.com.', 'myetherwasllet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwqllet.com.', 'myetherwqllet.com', u'bits', '103.16.229.16')
(u'myetherwallet.com', 'myetuherwallet.com.', 'myetuherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'mye6herwallet.com.', 'mye6herwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwalldet.com.', 'myetherwalldet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'mtyetherwallet.com.', 'mtyetherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myeth4erwallet.com.', 'myeth4erwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetnherwallet.com.', 'myetnherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myethe4wallet.com.', 'myethe4wallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'muyetherwallet.com.', 'muyetherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myethe4rwallet.com.', 'myethe4rwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetgherwallet.com.', 'myetgherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwalleth.com.', 'myetherwalleth.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myehterwallet.com.', 'myehterwallet.com', u'typo', '207.244.67.216')
(u'myetherwallet.com', 'mysetherwallet.com.', 'mysetherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetgerwallet.com.', 'myetgerwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwalket.com.', 'myetherwalket.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwallet.org.', 'myetherwallet.org', 'wrongTLD', '192.64.119.41')
(u'myetherwallet.com', 'myetherwalle6.com.', 'myetherwalle6.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myehterwallet.com.', 'myehterwallet.com', u'typo', '207.244.67.218')
(u'myetherwallet.com', 'myetherwallert.com.', 'myetherwallert.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myeetherwallet.com.', 'myeetherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myethe5wallet.com.', 'myethe5wallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'm6yetherwallet.com.', 'm6yetherwallet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherwall4t.com.', 'myetherwall4t.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myetherw3allet.com.', 'myetherw3allet.com', u'typo', '103.16.229.16')
(u'myetherwallet.com', 'myethervallet.com.', 'myethervallet.com', u'homo', '37.140.192.7')
