(u'priceline.com', 'prjiceline.com.', 'prjiceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priciline.com.', 'priciline.com', u'homo', '52.86.163.26')
(u'priceline.com', 'ppriceline.com.', 'ppriceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelinef.com.', 'pricelinef.com', u'typo', '52.52.64.247')
(u'priceline.com', 'psiceline.com.', 'psiceline.com', u'bits', '52.86.163.26')
(u'priceline.com', 'priceeline.com.', 'priceeline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceline-finance.com.', 'priceline-finance.com', 'combo', '64.6.21.2')
(u'priceline.com', 'prigeline.com.', 'prigeline.com', u'bits', '52.52.64.247')
(u'priceline.com', 'priceliune.com.', 'priceliune.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pricline.ca.', 'pricline.ca', u'typo', '208.73.211.165')
(u'priceline.com', 'pricelinem.com.', 'pricelinem.com', u'typo', '52.86.163.26')
(u'priceline.com', 'prkiceline.com.', 'prkiceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'priceline-asia.com.', 'priceline-asia.com', 'combo', '64.6.28.42')
(u'priceline.com', 'pr5iceline.com.', 'pr5iceline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricline.us.', 'pricline.us', u'typo', '192.64.119.81')
(u'priceline.com', 'pricelibe.com.', 'pricelibe.com', u'typo', '64.6.21.2')
(u'priceline.com', 'hotels-priceline.com.', 'hotels-priceline.com', 'combo', '64.6.21.2')
(u'priceline.com', 'priceline.cl.', 'priceline.cl', 'wrongTLD', '64.6.21.2')
(u'priceline.com', 'preceline.com.', 'preceline.com', u'homo', '64.6.21.2')
(u'priceline.com', 'priceline-cars.com.', 'priceline-cars.com', 'combo', '64.6.21.2')
(u'priceline.com', 'priceline.net.au.', 'priceline.net.au', 'wrongTLD', '165.160.15.20')
(u'priceline.com', 'priecline.com.', 'priecline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'prdiceline.com.', 'prdiceline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'p5riceline.com.', 'p5riceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'priceline.net.cn.', 'priceline.net.cn', 'wrongTLD', '23.234.53.201')
(u'priceline.com', 'pric4line.com.', 'pric4line.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricerline.com.', 'pricerline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelien.co.uk.', 'pricelien.co.uk', u'typo', '64.106.229.221')
(u'priceline.com', 'priceline.xyz.', 'priceline.xyz', 'wrongTLD', '23.234.27.209')
(u'priceline.com', 'peiceline.com.', 'peiceline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'priiceline.com.', 'priiceline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'oriceline.com.', 'oriceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelinep.com.', 'pricelinep.com', u'typo', '23.22.216.234')
(u'priceline.com', 'prjiceline.com.', 'prjiceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricline.co.', 'pricline.co', u'typo', '52.86.163.26')
(u'priceline.com', 'pficeline.com.', 'pficeline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pri9celine.com.', 'pri9celine.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceline-lounge.com.', 'priceline-lounge.com', 'combo', '64.6.18.6')
(u'priceline.com', 'pricelihne.com.', 'pricelihne.com', u'typo', '64.6.28.2')
(u'priceline.com', 'pr9celine.com.', 'pr9celine.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelin3.com.', 'pricelin3.com', u'typo', '23.22.216.234')
