(u'rabobank.com', 'rabobank-tournamentu13.com.', 'rabobank-tournamentu13.com', 'combo', '5.61.250.119')
(u'rabobank.com', 'rabobank.com.py.', 'rabobank.com.py', 'wrongTLD', '184.25.56.101')
(u'rabobank.com', 'rabobank.xyz.', 'rabobank.xyz', 'wrongTLD', '185.53.178.6')
(u'rabobank.com', 'rabobank.la.', 'rabobank.la', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.af.', 'rabobank.af', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank-international.com.', 'rabobank-international.com', 'combo', '23.59.190.16')
(u'rabobank.com', 'rabobank.es.', 'rabobank.es', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.rw.', 'rabobank.rw', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank-research.net.', 'rabobank-research.net', 'combo', '23.15.7.96')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobhank.nl.', 'rabobhank.nl', u'typo', '199.59.242.150')
(u'rabobank.com', 'rabobank.rw.', 'rabobank.rw', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.si.', 'rabobank.si', 'wrongTLD', '184.25.56.101')
(u'rabobank.com', 'rabobank.af.', 'rabobank.af', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank-research.com.', 'rabobank-research.com', 'combo', '173.222.148.35')
(u'rabobank.com', 'rabobank.net.cn.', 'rabobank.net.cn', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.ch.', 'rabobank.ch', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.pe.', 'rabobank.pe', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.com.es.', 'rabobank.com.es', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.us.', 'rabobank.us', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.kr.', 'rabobank.kr', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'rabobank.rw.', 'rabobank.rw', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.sg.', 'rabobank.sg', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank-research.net.', 'rabobank-research.net', 'combo', '104.96.221.96')
(u'rabobank.com', 'rabobank.me.', 'rabobank.me', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'nfc2-rabobank.online.', 'nfc2-rabobank.online', 'combo', '104.28.8.114')
(u'rabobank.com', 'rabobank.tm.', 'rabobank.tm', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'arbobank.nl.', 'arbobank.nl', u'typo', '185.182.56.12')
(u'rabobank.com', 'rabobank.us.', 'rabobank.us', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.rs.', 'rabobank.rs', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.sg.', 'rabobank.sg', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.com.kh.', 'rabobank.com.kh', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.rs.', 'rabobank.rs', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank-direct.de.', 'rabobank-direct.de', 'combo', '72.52.10.14')
(u'rabobank.com', 'tabobank.com.', 'tabobank.com', u'typo', '141.8.224.93')
(u'rabobank.com', 'rabobank.com.vn.', 'rabobank.com.vn', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '184.25.56.101')
(u'rabobank.com', 'rabobank.tm.', 'rabobank.tm', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.com.hk.', 'rabobank.com.hk', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'rabobank.bg.', 'rabobank.bg', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'rabobank.com.py.', 'rabobank.com.py', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.online.', 'rabobank.online', 'wrongTLD', '91.184.0.100')
(u'rabobank.com', 'robobank.com.au.', 'robobank.com.au', u'homo', '98.124.245.24')
(u'rabobank.com', 'rabobank.tw.', 'rabobank.tw', 'wrongTLD', '184.25.56.101')
(u'rabobank.com', 'rabobank.com.es.', 'rabobank.com.es', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.lt.', 'rabobank.lt', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.us.', 'rabobank.us', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabpbank.nl.', 'rabpbank.nl', u'typo', '185.53.178.7')
(u'rabobank.com', 'rabobank.net.cn.', 'rabobank.net.cn', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'reabobank.nl.', 'reabobank.nl', u'typo', '199.115.116.216')
(u'rabobank.com', 'rabobank.asia.', 'rabobank.asia', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'rabobank-research.net.', 'rabobank-research.net', 'combo', '104.96.221.105')
(u'rabobank.com', 'rabobank.com.pt.', 'rabobank.com.pt', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.la.', 'rabobank.la', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank-international.com.', 'rabobank-international.com', 'combo', '23.59.190.25')
(u'rabobank.com', 'rabobank.us.', 'rabobank.us', 'wrongTLD', '23.215.132.72')
(u'rabobank.com', 'rabobank.fi.', 'rabobank.fi', 'wrongTLD', '104.96.221.96')
(u'rabobank.com', 'rabobank-international.com.', 'rabobank-international.com', 'combo', '23.15.7.144')
(u'rabobank.com', 'rabobank.cr.', 'rabobank.cr', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.net.', 'rabobank.net', 'wrongTLD', '145.72.70.20')
(u'rabobank.com', 'rabobank.af.', 'rabobank.af', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'reabobank.nl.', 'reabobank.nl', u'typo', '109.201.135.34')
(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.jp.', 'rabobank.jp', 'wrongTLD', '104.80.88.75')
