(u'researchgate.net', 'researchgat.net.', 'researchgat.net', u'typo', '103.224.182.251')
(u'researchgate.net', 'researchgate.co.in.', 'researchgate.co.in', 'wrongTLD', '199.59.242.150')
(u'researchgate.net', 'researchgte.net.', 'researchgte.net', u'typo', '141.8.224.195')
(u'researchgate.net', 'researhgate.net.', 'researhgate.net', u'typo', '103.224.182.252')
(u'researchgate.net', 'reseachgate.com.', 'reseachgate.com', u'typo', '69.162.80.51')
(u'researchgate.net', 'reseachgate.com.', 'reseachgate.com', u'typo', '69.162.80.56')
(u'researchgate.net', 'reasearchgate.net.', 'reasearchgate.net', u'typo', '185.53.178.7')
(u'researchgate.net', 'researhcgate.net.', 'researhcgate.net', u'typo', '103.224.212.222')
(u'researchgate.net', 'researchgate.com.cn.', 'researchgate.com.cn', 'wrongTLD', '150.242.126.34')
(u'researchgate.net', 'resarchgate.com.', 'resarchgate.com', u'typo', '109.201.135.34')
(u'researchgate.net', 'researhgate.com.', 'researhgate.com', u'typo', '213.247.47.190')
(u'researchgate.net', 'reseachgate.com.', 'reseachgate.com', u'typo', '69.162.80.60')
(u'researchgate.net', 'researchgate.cn.', 'researchgate.cn', 'wrongTLD', '150.242.126.34')
(u'researchgate.net', 'reserarchgate.com.', 'reserarchgate.com', u'typo', '173.239.5.6')
(u'researchgate.net', 'researchgate.com.', 'researchgate.com', 'wrongTLD', '209.15.209.70')
(u'researchgate.net', 'researchhate.bid.', 'researchhate.bid', u'typo', '68.235.49.29')
(u'researchgate.net', 'researhgate.com.', 'researhgate.com', u'typo', '173.239.5.6')
(u'researchgate.net', 'researchgate.org.', 'researchgate.org', 'wrongTLD', '80.67.28.186')
(u'researchgate.net', 'researchgate.es.', 'researchgate.es', 'wrongTLD', '212.91.7.33')
(u'researchgate.net', 'resarchgate.net.', 'resarchgate.net', u'typo', '185.53.178.7')
(u'researchgate.net', 'reasearchgate.com.', 'reasearchgate.com', u'typo', '213.247.47.190')
(u'researchgate.net', 'researchgate.jp.', 'researchgate.jp', 'wrongTLD', '49.212.207.51')
(u'researchgate.net', 'researchgare.org.', 'researchgare.org', u'typo', '103.224.182.241')
(u'researchgate.net', 'researcgate.net.', 'researcgate.net', u'typo', '141.8.224.169')
(u'researchgate.net', 'researhgate.com.', 'researhgate.com', u'typo', '173.239.8.164')
(u'researchgate.net', 'resarchgate.net.', 'resarchgate.net', u'typo', '54.72.9.51')
(u'researchgate.net', 'reasearchgate.com.', 'reasearchgate.com', u'typo', '173.239.5.6')
(u'researchgate.net', 'reaearchgate.com.', 'reaearchgate.com', u'typo', '54.217.222.113')
(u'researchgate.net', 'resaerchgate.com.', 'resaerchgate.com', u'typo', '213.247.47.190')
(u'researchgate.net', 'researchagte.net.', 'researchagte.net', u'typo', '103.224.212.222')
(u'researchgate.net', 'researchgate.eu.', 'researchgate.eu', 'wrongTLD', '80.67.28.186')
(u'researchgate.net', 'resaerchgate.net.', 'resaerchgate.net', u'typo', '103.224.212.222')
(u'researchgate.net', 'reasearchgate.com.', 'reasearchgate.com', u'typo', '173.239.8.164')
(u'researchgate.net', 'resaerchgate.com.', 'resaerchgate.com', u'typo', '173.239.5.6')
(u'researchgate.net', 'resarchgate.com.', 'resarchgate.com', u'typo', '162.210.196.167')
(u'researchgate.net', 'researchgate.info.', 'researchgate.info', 'wrongTLD', '80.67.28.186')
(u'researchgate.net', 'researchgates.net.', 'researchgates.net', u'typo', '80.67.28.186')
(u'researchgate.net', 'research-gate.net.', 'research-gate.net', u'typo', '80.67.28.186')
(u'researchgate.net', 'researchgate.us.', 'researchgate.us', 'wrongTLD', '119.81.170.18')
(u'researchgate.net', 'researchgate.io.', 'researchgate.io', 'wrongTLD', '209.15.209.70')
(u'researchgate.net', 'researchgates.com.', 'researchgates.com', u'typo', '80.67.28.186')
(u'researchgate.net', 'research-gate.com.', 'research-gate.com', u'typo', '80.67.28.186')
(u'researchgate.net', 'resaerchgate.com.', 'resaerchgate.com', u'typo', '173.239.8.164')
(u'researchgate.net', 'reserachgate.net.', 'reserachgate.net', u'typo', '69.64.146.224')
(u'researchgate.net', 'researchgates.de.', 'researchgates.de', u'typo', '80.67.28.186')
(u'researchgate.net', 'researchgatee.net.', 'researchgatee.net', u'typo', '199.59.242.150')
(u'researchgate.net', 'reserarchgate.com.', 'reserarchgate.com', u'typo', '213.247.47.190')
(u'researchgate.net', 'reasearchgate.net.', 'reasearchgate.net', u'typo', '54.72.9.51')
(u'researchgate.net', 'researcgate.org.', 'researcgate.org', u'typo', '103.224.182.241')
(u'researchgate.net', 'recearchgate.com.', 'recearchgate.com', u'bits', '213.247.47.190')
(u'researchgate.net', 'navarrabiomed-researchgate.com.', 'navarrabiomed-researchgate.com', 'combo', '31.170.123.11')
(u'researchgate.net', 'reaearchgate.com.', 'reaearchgate.com', u'typo', '54.72.9.51')
(u'researchgate.net', 'researchgate.co.', 'researchgate.co', 'wrongTLD', '199.59.242.150')
