(u'shutterfly.com', 'shutterflyl.com.', 'shutterflyl.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shuttefly.com.', 'shuttefly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuhtterfly.com.', 'shuhtterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shyutterfly.com.', 'shyutterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shuutterfly.com.', 'shuutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuitterfly.com.', 'shuitterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'sahutterfly.com.', 'sahutterfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutterrly.com.', 'shutterrly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfcly.com.', 'shutterfcly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflu.com.', 'shutterflu.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shutterdfly.com.', 'shutterdfly.com', u'typo', '141.8.224.93')
(u'shutterfly.com', 'shutterfly-prints.com.', 'shutterfly-prints.com', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shgutterfly.com.', 'shgutterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuttarfly.com.', 'shuttarfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'shjutterfly.com.', 'shjutterfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutterf1y.net.', 'shutterf1y.net', u'homo', '136.179.236.70')
(u'shutterfly.com', 'shuttergly.com.', 'shuttergly.com', u'bits', '23.22.216.234')
(u'shutterfly.com', 'ahutterfly.com.', 'ahutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'sdhutterfly.com.', 'sdhutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterf1y.com.', 'shutterf1y.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-photography.com.', 'shutterfly-photography.com', 'combo', '52.86.163.26')
(u'shutterfly.com', 'shutter-fly.com.', 'shutter-fly.com', u'typo', '72.52.10.14')
(u'shutterfly.com', 'shutterfly-stable.com.', 'shutterfly-stable.com', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shuttedrfly.com.', 'shuttedrfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shtuterfly.com.', 'shtuterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttefrly.com.', 'shuttefrly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttervly.com.', 'shuttervly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shudterfly.com.', 'shudterfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shutterflyz.com.', 'shutterflyz.com', u'typo', '69.64.147.39')
(u'shutterfly.com', 'share-shutterfly.com.', 'share-shutterfly.com', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.sg.', 'shutterfly.sg', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'hutterfly.com.', 'hutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflyl.com.', 'shutterflyl.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shatterfly.com.', 'shatterfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'sahutterfly.com.', 'sahutterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shtterfly.com.', 'shtterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shuttdrfly.net.', 'shuttdrfly.net', u'bits', '136.179.236.70')
(u'shutterfly.com', 'sbutterfly.com.', 'sbutterfly.com', u'typo', '72.52.10.14')
(u'shutterfly.com', 'shutterdly.com.', 'shutterdly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shutt3rfly.com.', 'shutt3rfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttdrfly.com.', 'shuttdrfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shuttwerfly.com.', 'shuttwerfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterbly.com.', 'shutterbly.com', u'bits', '23.22.216.234')
(u'shutterfly.com', 'shjutterfly.com.', 'shjutterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shuftterfly.com.', 'shuftterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shtterfly.com.', 'shtterfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shuttferfly.com.', 'shuttferfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutetrfly.com.', 'shutetrfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'hsutterfly.com.', 'hsutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'suhutterfly.com.', 'suhutterfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shuttyerfly.com.', 'shuttyerfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuuterfly.net.', 'shuuterfly.net', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shugterfly.com.', 'shugterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttedrfly.com.', 'shuttedrfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuttedfly.com.', 'shuttedfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuuterfly.com.', 'shuuterfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shutrterfly.com.', 'shutrterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-photos.com.', 'shutterfly-photos.com', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shuttetfly.com.', 'shuttetfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shotterfly.com.', 'shotterfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'slutterfly.com.', 'slutterfly.com', u'bits', '52.52.64.247')
(u'shutterfly.com', 'shutterflyl.com.', 'shutterflyl.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'sutterfly.com.', 'sutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttrerfly.com.', 'shuttrerfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterly.com.', 'shutterly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.ch.', 'shutterfly.ch', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutterdly.ws.', 'shutterdly.ws', u'bits', '64.70.19.203')
(u'shutterfly.com', 'shutterflu.com.', 'shutterflu.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shutterfli.com.', 'shutterfli.com', u'bits', '136.179.236.216')
(u'shutterfly.com', 'shutterfly.be.', 'shutterfly.be', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutderfly.com.', 'shutderfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shutterefly.com.', 'shutterefly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflys.com.', 'shutterflys.com', u'typo', '72.52.10.14')
(u'shutterfly.com', 'shytterfly.com.', 'shytterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttertfly.com.', 'shuttertfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.co.uk.', 'shutterfly.co.uk', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'dhutterfly.com.', 'dhutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shgutterfly.com.', 'shgutterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shutterfloy.com.', 'shutterfloy.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shutterffly.com.', 'shutterffly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttterfly.com.', 'shuttterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'suhutterfly.com.', 'suhutterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuttergly.com.', 'shuttergly.com', u'bits', '52.86.163.26')
(u'shutterfly.com', 'sghutterfly.com.', 'sghutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutferfly.com.', 'shutferfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflu.com.', 'shutterflu.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shu5terfly.com.', 'shu5terfly.com', u'typo', '136.179.236.70')
