(u'shutterstock.com', 'shotterstock.com.', 'shotterstock.com', u'homo', '52.86.163.26')
(u'shutterstock.com', 'shuttersstock.com.', 'shuttersstock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shhutterstock.com.', 'shhutterstock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterstocks.com.', 'shutterstocks.com', u'typo', '185.53.178.8')
(u'shutterstock.com', 'shutturstock.com.', 'shutturstock.com', u'homo', '52.52.18.176')
(u'shutterstock.com', 'shuttersdock.com.', 'shuttersdock.com', u'bits', '52.86.163.26')
(u'shutterstock.com', 'shutteestock.com.', 'shutteestock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterstiock.com.', 'shutterstiock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstoock.com.', 'shutterstoock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shutterstocks.de.', 'shutterstocks.de', u'typo', '185.53.178.6')
(u'shutterstock.com', 'shutterstockk.com.', 'shutterstockk.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shtterstock.com.', 'shtterstock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shuttersgock.com.', 'shuttersgock.com', u'typo', '136.243.255.84')
(u'shutterstock.com', 'shurterstock.com.', 'shurterstock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shurrerstock.com.', 'shurrerstock.com', u'typo', '216.146.46.10')
(u'shutterstock.com', 'shurrerstock.com.', 'shurrerstock.com', u'typo', '216.146.46.11')
(u'shutterstock.com', 'shutterstock.cloud.', 'shutterstock.cloud', 'wrongTLD', '62.149.128.151')
(u'shutterstock.com', 'shuttertsock.com.', 'shuttertsock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shutterstock.cloud.', 'shutterstock.cloud', 'wrongTLD', '62.149.128.154')
(u'shutterstock.com', 'shitterstock.com.', 'shitterstock.com', u'homo', '162.212.41.30')
(u'shutterstock.com', 'shutterwtock.com.', 'shutterwtock.com', u'bits', '52.52.18.176')
(u'shutterstock.com', 'shuttersdock.com.', 'shuttersdock.com', u'bits', '52.52.64.247')
(u'shutterstock.com', 'shurtterstock.com.', 'shurtterstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstock.cloud.', 'shutterstock.cloud', 'wrongTLD', '62.149.128.157')
(u'shutterstock.com', 'shutterstoock.com.', 'shutterstoock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterstock.uk.', 'shutterstock.uk', 'wrongTLD', '216.146.46.10')
(u'shutterstock.com', 'sutterstock.de.', 'sutterstock.de', u'typo', '185.53.178.6')
(u'shutterstock.com', 'shutterstock.uk.', 'shutterstock.uk', 'wrongTLD', '216.146.46.11')
(u'shutterstock.com', 'shuttwrstock.com.', 'shuttwrstock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shtterstock.com.', 'shtterstock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterstoci.com.', 'shutterstoci.com', u'bits', '136.243.255.84')
(u'shutterstock.com', 'sh7tterstock.com.', 'sh7tterstock.com', u'typo', '216.146.46.10')
(u'shutterstock.com', 'sxutterstock.com.', 'sxutterstock.com', u'bits', '52.52.18.176')
(u'shutterstock.com', 'sh7tterstock.com.', 'sh7tterstock.com', u'typo', '216.146.46.11')
(u'shutterstock.com', 'shutferstock.com.', 'shutferstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstock.nyc.', 'shutterstock.nyc', 'wrongTLD', '216.146.46.10')
(u'shutterstock.com', 'shutteerstock.com.', 'shutteerstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shuttrrstock.com.', 'shuttrrstock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shytterstock.com.', 'shytterstock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shuttrerstock.com.', 'shuttrerstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shuttestock.com.', 'shuttestock.com', u'typo', '162.212.41.11')
(u'shutterstock.com', 'shutterstock.nyc.', 'shutterstock.nyc', 'wrongTLD', '216.146.46.11')
(u'shutterstock.com', 'shuttarstock.com.', 'shuttarstock.com', u'homo', '23.22.216.234')
(u'shutterstock.com', 'shuttesrstock.com.', 'shuttesrstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstocke.com.', 'shutterstocke.com', u'typo', '158.69.143.109')
(u'shutterstock.com', 'shutterstock.mx.', 'shutterstock.mx', 'wrongTLD', '162.212.41.30')
(u'shutterstock.com', 'shtuterstock.com.', 'shtuterstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'snutterstock.com.', 'snutterstock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shuttersotck.com.', 'shuttersotck.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shuttertock.com.', 'shuttertock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstock.org.', 'shutterstock.org', 'wrongTLD', '162.212.41.30')
(u'shutterstock.com', 'shutterstock.top.', 'shutterstock.top', 'wrongTLD', '185.53.178.9')
(u'shutterstock.com', 'shuttersstock.com.', 'shuttersstock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'hsutterstock.com.', 'hsutterstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutturstock.com.', 'shutturstock.com', u'homo', '52.86.163.26')
(u'shutterstock.com', 'whutterstock.com.', 'whutterstock.com', u'bits', '216.146.46.10')
(u'shutterstock.com', 'shutterstokc.com.', 'shutterstokc.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shutterstock.tv.', 'shutterstock.tv', 'wrongTLD', '162.212.41.30')
(u'shutterstock.com', 'shuttesrtock.com.', 'shuttesrtock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstock.net.', 'shutterstock.net', 'wrongTLD', '162.212.41.30')
(u'shutterstock.com', 'shutterdtock.com.', 'shutterdtock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'whutterstock.com.', 'whutterstock.com', u'bits', '216.146.46.11')
(u'shutterstock.com', 'shutderstock.com.', 'shutderstock.com', u'bits', '52.52.64.247')
(u'shutterstock.com', 'shutterstock.paris.', 'shutterstock.paris', 'wrongTLD', '216.146.46.10')
(u'shutterstock.com', 'shutterstlck.com.', 'shutterstlck.com', u'typo', '136.243.255.84')
(u'shutterstock.com', 'shutterstock.paris.', 'shutterstock.paris', 'wrongTLD', '216.146.46.11')
(u'shutterstock.com', 'shutterstockc.com.', 'shutterstockc.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstock.xxx.', 'shutterstock.xxx', 'wrongTLD', '199.253.28.249')
(u'shutterstock.com', 'shuttetstock.com.', 'shuttetstock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutteratock.com.', 'shutteratock.com', u'typo', '95.211.219.65')
(u'shutterstock.com', 'shutyerstock.com.', 'shutyerstock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstocks.ga.', 'shutterstocks.ga', u'typo', '143.95.234.43')
(u'shutterstock.com', 'shutteratock.com.', 'shutteratock.com', u'typo', '95.211.219.66')
(u'shutterstock.com', 'shutterstovk.com.', 'shutterstovk.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'zhutterstock.com.', 'zhutterstock.com', u'typo', '216.146.46.10')
(u'shutterstock.com', 'shutterstocj.com.', 'shutterstocj.com', u'bits', '52.52.64.247')
(u'shutterstock.com', 'shurterstock.com.', 'shurterstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'zhutterstock.com.', 'zhutterstock.com', u'typo', '216.146.46.11')
(u'shutterstock.com', 'shutterstock.com.vn.', 'shutterstock.com.vn', 'wrongTLD', '162.212.41.30')
(u'shutterstock.com', 'shutterstiock.com.', 'shutterstiock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstokc.com.', 'shutterstokc.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterstocvk.com.', 'shutterstocvk.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstrock.com.', 'shutterstrock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterztock.com.', 'shutterztock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstock.cloud.', 'shutterstock.cloud', 'wrongTLD', '62.149.128.160')
(u'shutterstock.com', 'shuttersrock.com.', 'shuttersrock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstock.com.tr.', 'shutterstock.com.tr', 'wrongTLD', '31.192.213.42')
(u'shutterstock.com', 'shuyterstock.com.', 'shuyterstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstock.cloud.', 'shutterstock.cloud', 'wrongTLD', '62.149.128.163')
(u'shutterstock.com', 'shuttwrstock.com.', 'shuttwrstock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'sxutterstock.com.', 'sxutterstock.com', u'bits', '52.86.163.26')
(u'shutterstock.com', 'shotterstock.com.', 'shotterstock.com', u'homo', '23.22.216.234')
(u'shutterstock.com', 'shutterstovk.com.', 'shutterstovk.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutteratock.com.', 'shutteratock.com', u'typo', '69.162.80.55')
(u'shutterstock.com', 'shutterstock.cloud.', 'shutterstock.cloud', 'wrongTLD', '62.149.128.166')
(u'shutterstock.com', 'shuttersyock.com.', 'shuttersyock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shutteratock.com.', 'shutteratock.com', u'typo', '69.162.80.56')
(u'shutterstock.com', 'shutterstock.com.tw.', 'shutterstock.com.tw', 'wrongTLD', '162.212.41.30')
(u'shutterstock.com', 'shuttersock.com.', 'shuttersock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'sgutterstock.com.', 'sgutterstock.com', u'typo', '52.52.18.176')
