(u'square-enix.com', 'square-enix-london-studios.com.', 'square-enix-london-studios.com', 'combo', '184.107.107.176')
(u'square-enix.com', 'dns3.square-enix-mobilestudio.com.', 'dns3.square-enix-mobilestudio.com', 'combo', '202.67.53.32')
(u'square-enix.com', 'square-enix-mag.com.', 'square-enix-mag.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'dns3.square-enix-shop.com.', 'dns3.square-enix-shop.com', 'combo', '202.67.53.32')
(u'square-enix.com', 'square-enix-ocean.com.', 'square-enix-ocean.com', 'combo', '213.186.33.40')
(u'square-enix.com', 'squre-enix.com.', 'squre-enix.com', u'typo', '199.191.50.73')
(u'square-enix.com', 'eu-square-enix.com.', 'eu-square-enix.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'square-enix-games.net.', 'square-enix-games.net', 'combo', '165.160.15.20')
(u'square-enix.com', 'email-square-enix.com.', 'email-square-enix.com', 'combo', '206.165.245.100')
(u'square-enix.com', 'enregistrement-square-enix.com.', 'enregistrement-square-enix.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'spuare-enix.com.', 'spuare-enix.com', u'bits', '199.191.50.73')
(u'square-enix.com', 'dns2.square-enix-mobilestudio.com.', 'dns2.square-enix-mobilestudio.com', 'combo', '202.67.53.95')
(u'square-enix.com', 'square-enix-europe.de.', 'square-enix-europe.de', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-mag.com.', 'square-enix-mag.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'eu-square-enix.com.', 'eu-square-enix.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-games.net.', 'square-enix-games.net', 'combo', '165.160.13.20')
(u'square-enix.com', 'remote.square-enix-europe.com.', 'remote.square-enix-europe.com', 'combo', '184.107.107.159')
(u'square-enix.com', 'dns4.square-enix-shop.com.', 'dns4.square-enix-shop.com', 'combo', '202.67.53.96')
(u'square-enix.com', 'square-enix-game.com.', 'square-enix-game.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'squareenix.com.', 'squareenix.com', u'typo', '202.67.63.148')
(u'square-enix.com', 'dns1.square-enix-mobilestudio.com.', 'dns1.square-enix-mobilestudio.com', 'combo', '202.67.53.31')
(u'square-enix.com', 'square-enix-boutique.com.', 'square-enix-boutique.com', 'combo', '185.16.44.160')
(u'square-enix.com', 'square-enix-europe-external.com.', 'square-enix-europe-external.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'squareenix.xxx.', 'squareenix.xxx', u'typo', '199.253.28.9')
(u'square-enix.com', 'square-enix-business-support.com.', 'square-enix-business-support.com', 'combo', '202.67.63.148')
(u'square-enix.com', 'dns2.square-enix-shop.com.', 'dns2.square-enix-shop.com', 'combo', '202.67.53.95')
(u'square-enix.com', 'dns1.square-enix-business-support.com.', 'dns1.square-enix-business-support.com', 'combo', '202.67.53.31')
(u'square-enix.com', 'square-enix-game.com.', 'square-enix-game.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-us.com.', 'square-enix-us.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'squareenix.co.uk.', 'squareenix.co.uk', u'typo', '165.160.15.20')
(u'square-enix.com', 'square-enix-press.com.', 'square-enix-press.com', 'combo', '95.138.158.208')
(u'square-enix.com', 'mail.square-enix-members.org.', 'mail.square-enix-members.org', 'combo', '119.252.176.53')
(u'square-enix.com', 'square-enix-canada.com.', 'square-enix-canada.com', 'combo', '184.107.107.176')
(u'square-enix.com', 'mail.square-enix-members.net.', 'mail.square-enix-members.net', 'combo', '119.252.176.53')
(u'square-enix.com', 'mail.square-enix-members.com.', 'mail.square-enix-members.com', 'combo', '119.252.176.53')
(u'square-enix.com', 'square-enix-us.com.', 'square-enix-us.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-ff15.com.', 'square-enix-ff15.com', 'combo', '211.123.214.8')
(u'square-enix.com', 'square-enix-europe.com.', 'square-enix-europe.com', 'combo', '216.52.244.33')
(u'square-enix.com', 'squareenix.co.uk.', 'squareenix.co.uk', u'typo', '165.160.13.20')
(u'square-enix.com', 'square-enix-shop.fr.', 'square-enix-shop.fr', 'combo', '165.160.15.20')
(u'square-enix.com', 'square-enix-smileworks.com.', 'square-enix-smileworks.com', 'combo', '133.242.14.79')
(u'square-enix.com', 'squareenix.xxx.', 'squareenix.xxx', u'typo', '199.253.28.249')
(u'square-enix.com', 'square-enix-members.de.', 'square-enix-members.de', 'combo', '68.64.137.240')
(u'square-enix.com', 'dns4.square-enix-business-support.com.', 'dns4.square-enix-business-support.com', 'combo', '202.67.53.96')
(u'square-enix.com', 'harvester.ext.square-enix-europe.com.', 'harvester.ext.square-enix-europe.com', 'combo', '184.107.107.180')
(u'square-enix.com', 'square-enix.de.', 'square-enix.de', 'wrongTLD', '78.46.73.138')
(u'square-enix.com', 'us-square-enix.com.', 'us-square-enix.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'squae-enix.com.', 'squae-enix.com', u'typo', '209.15.13.134')
(u'square-enix.com', 'square-enix-america.com.', 'square-enix-america.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'squareenix.ws.', 'squareenix.ws', u'typo', '64.70.19.203')
(u'square-enix.com', 'square-enix-shop.fr.', 'square-enix-shop.fr', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-shop.com.', 'square-enix-shop.com', 'combo', '202.67.63.148')
(u'square-enix.com', 'square-enix-members.org.', 'square-enix-members.org', 'combo', '68.64.137.240')
(u'square-enix.com', 'mail.square-enix-members.de.', 'mail.square-enix-members.de', 'combo', '119.252.176.53')
(u'square-enix.com', 'square-enix-members.net.', 'square-enix-members.net', 'combo', '68.64.137.240')
(u'square-enix.com', 'moogle.square-enix-usa.com.', 'moogle.square-enix-usa.com', 'combo', '208.185.191.19')
(u'square-enix.com', 'suare-enix.com.', 'suare-enix.com', u'typo', '141.8.224.93')
(u'square-enix.com', 'square-enix-members.com.', 'square-enix-members.com', 'combo', '68.64.137.240')
(u'square-enix.com', 'sqare-enix.com.', 'sqare-enix.com', u'typo', '208.91.196.105')
(u'square-enix.com', 'us-square-enix.com.', 'us-square-enix.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-america.com.', 'square-enix-america.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-collective.com.', 'square-enix-collective.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'square-enix.com.hk.', 'square-enix.com.hk', 'wrongTLD', '117.18.114.132')
(u'square-enix.com', 'dns1.square-enix-shop.com.', 'dns1.square-enix-shop.com', 'combo', '202.67.53.31')
(u'square-enix.com', 'squareenix.de.', 'squareenix.de', u'typo', '165.160.15.20')
(u'square-enix.com', 'square-enix-london-studios.co.uk.', 'square-enix-london-studios.co.uk', 'combo', '184.107.107.176')
(u'square-enix.com', 'square-enix-collective.com.', 'square-enix-collective.com', 'combo', '165.160.13.20')
(u'square-enix.com', 'square-enix-magazine.fr.', 'square-enix-magazine.fr', 'combo', '80.244.189.82')
(u'square-enix.com', 'squar-enix.com.', 'squar-enix.com', u'typo', '185.53.178.8')
(u'square-enix.com', 'eu-square-enix.tk.', 'eu-square-enix.tk', 'combo', '195.20.40.157')
(u'square-enix.com', 'squareenix.de.', 'squareenix.de', u'typo', '165.160.13.20')
(u'square-enix.com', 'dns3.square-enix-business-support.com.', 'dns3.square-enix-business-support.com', 'combo', '202.67.53.32')
(u'square-enix.com', 'squire-enix.com.', 'squire-enix.com', u'homo', '209.15.13.134')
(u'square-enix.com', 'sqaure-enix.com.', 'sqaure-enix.com', u'typo', '199.191.50.73')
(u'square-enix.com', 'square-enix.net.cn.', 'square-enix.net.cn', 'wrongTLD', '219.234.83.190')
(u'square-enix.com', 'dns1.square-enix-smileworks.com.', 'dns1.square-enix-smileworks.com', 'combo', '202.67.53.31')
(u'square-enix.com', 'dns2.square-enix-smileworks.com.', 'dns2.square-enix-smileworks.com', 'combo', '202.67.53.95')
(u'square-enix.com', 'square-enix-montreal.com.', 'square-enix-montreal.com', 'combo', '184.107.107.176')
(u'square-enix.com', 'dns4.square-enix-mobilestudio.com.', 'dns4.square-enix-mobilestudio.com', 'combo', '202.67.53.96')
(u'square-enix.com', 'square-enix.link.', 'square-enix.link', 'wrongTLD', '219.94.163.186')
(u'square-enix.com', 'square-enix-blog.de.', 'square-enix-blog.de', 'combo', '72.52.4.119')
(u'square-enix.com', 'square-enix-magazine.com.', 'square-enix-magazine.com', 'combo', '80.244.189.82')
(u'square-enix.com', 'mail.square-enix-smileworks.com.', 'mail.square-enix-smileworks.com', 'combo', '133.242.14.79')
(u'square-enix.com', 'square-enix.online.', 'square-enix.online', 'wrongTLD', '72.52.4.119')
(u'square-enix.com', 'enregistrement-square-enix.com.', 'enregistrement-square-enix.com', 'combo', '165.160.15.20')
(u'square-enix.com', 'dns3.square-enix-smileworks.com.', 'dns3.square-enix-smileworks.com', 'combo', '202.67.53.32')
(u'square-enix.com', 'dns2.square-enix-business-support.com.', 'dns2.square-enix-business-support.com', 'combo', '202.67.53.95')
(u'square-enix.com', 'dns4.square-enix-smileworks.com.', 'dns4.square-enix-smileworks.com', 'combo', '202.67.53.96')
(u'square-enix.com', 'square-enix-london-studios.net.', 'square-enix-london-studios.net', 'combo', '184.107.107.176')
(u'square-enix.com', 'square-enix-europe.de.', 'square-enix-europe.de', 'combo', '165.160.15.20')
