(u'symbolab.com', 'sybolab.com.', 'sybolab.com', u'typo', '149.202.120.38')
(u'symbolab.com', 'symoblab.com.', 'symoblab.com', u'typo', '103.224.212.249')
(u'symbolab.com', 'simbolab.com.', 'simbolab.com', u'bits', '185.53.179.8')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.160')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.160')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.163')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.151')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.163')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.166')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.166')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.154')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.157')
(u'symbolab.com', 'symbiolab.de.', 'symbiolab.de', u'typo', '81.7.10.189')
(u'symbolab.com', 'symolab.com.', 'symolab.com', u'typo', '5.79.68.107')
(u'symbolab.com', 'symolab.com.', 'symolab.com', u'typo', '5.79.68.108')
(u'symbolab.com', 'symolab.com.', 'symolab.com', u'typo', '5.79.68.109')
(u'symbolab.com', 'sybolab.com.', 'sybolab.com', u'typo', '149.202.120.47')
(u'symbolab.com', 'symbolb.com.', 'symbolb.com', u'typo', '172.107.10.25')
(u'symbolab.com', 'symbola.com.', 'symbola.com', u'typo', '69.172.201.153')
(u'symbolab.com', 'symblab.com.', 'symblab.com', u'typo', '141.8.224.93')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.160')
(u'symbolab.com', 'sybolab.com.', 'sybolab.com', u'typo', '158.69.143.101')
(u'symbolab.com', 'symbolab.org.', 'symbolab.org', 'wrongTLD', '192.99.18.190')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.163')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.166')
(u'symbolab.com', 'sybolab.com.', 'sybolab.com', u'typo', '158.69.143.109')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.72')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.74')
(u'symbolab.com', 'symbiolab.se.', 'symbiolab.se', u'typo', '46.30.215.64')
(u'symbolab.com', 'symbalab.com.', 'symbalab.com', u'homo', '185.53.178.6')
(u'symbolab.com', 'symbolar.com.', 'symbolar.com', u'bits', '50.63.202.46')
(u'symbolab.com', 'sumbolab.com.', 'sumbolab.com', u'typo', '141.8.224.93')
(u'symbolab.com', 'symbollab.com.', 'symbollab.com', u'typo', '162.210.195.122')
(u'symbolab.com', 'symbiolab.eus.', 'symbiolab.eus', u'typo', '37.59.203.111')
(u'symbolab.com', 'symbolib.com.', 'symbolib.com', u'homo', '50.118.124.168')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.72')
(u'symbolab.com', 'symbola.net.', 'symbola.net', u'typo', '62.149.128.74')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.151')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.154')
(u'symbolab.com', 'smbolab.com.', 'smbolab.com', u'typo', '172.107.10.28')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.157')
(u'symbolab.com', 'symbola.co.uk.', 'symbola.co.uk', u'typo', '94.175.70.147')
(u'symbolab.com', 'symbola.biz.', 'symbola.biz', u'typo', '209.99.40.227')
(u'symbolab.com', 'symbolabs.com.', 'symbolabs.com', u'typo', '80.81.254.156')
(u'symbolab.com', 'symbolabs.de.', 'symbolabs.de', u'typo', '138.201.89.228')
(u'symbolab.com', 'symbolan.com.', 'symbolan.com', u'typo', '185.53.178.7')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.160')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.163')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.166')
(u'symbolab.com', 'simbolab.com.', 'simbolab.com', u'bits', '54.72.9.51')
(u'symbolab.com', 'symbolab.net.', 'symbolab.net', 'wrongTLD', '185.53.178.7')
(u'symbolab.com', 'synbolab.com.', 'synbolab.com', u'homo', '69.162.80.54')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.72')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.74')
(u'symbolab.com', 'smybolab.com.', 'smybolab.com', u'typo', '95.211.219.66')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.72')
(u'symbolab.com', 'symboab.com.', 'symboab.com', u'typo', '172.107.8.206')
(u'symbolab.com', 'symbola.eu.', 'symbola.eu', u'typo', '62.149.128.74')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.151')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.151')
(u'symbolab.com', 'symbolad.com.', 'symbolad.com', u'homo', '178.63.83.17')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.154')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.154')
(u'symbolab.com', 'symbola.it.', 'symbola.it', u'typo', '62.149.128.157')
(u'symbolab.com', 'symbola.info.', 'symbola.info', u'typo', '62.149.128.157')
(u'symbolab.com', 'synbolab.com.', 'synbolab.com', u'homo', '69.162.80.60')
