(u'techcrunch.com', '6echcrunch.com.', '6echcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch-africa.com.', 'techcrunch-africa.com', 'combo', '37.48.65.155')
(u'techcrunch.com', 'techcrrunch.com.', 'techcrrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcerunch.com.', 'techcerunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.nyc.', 'techcrunch.nyc', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techcrunch-india.com.', 'techcrunch-india.com', 'combo', '45.56.69.72')
(u'techcrunch.com', 'techrunch.net.', 'techrunch.net', u'typo', '67.220.182.242')
(u'techcrunch.com', 'techcrunch.news.', 'techcrunch.news', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.info.', 'techcrunch.info', 'wrongTLD', '185.53.178.8')
(u'techcrunch.com', 'yechcrunch.com.', 'yechcrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.work.', 'techcrunch.work', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techcreunch.com.', 'techcreunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'tecycrunch.com.', 'tecycrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrundh.com.', 'techcrundh.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techccrunch.com.', 'techccrunch.com', u'typo', '208.73.210.217')
(u'techcrunch.com', 'techvrunch.com.', 'techvrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techvcrunch.com.', 'techvcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcranch.com.', 'techcranch.com', u'homo', '205.209.138.163')
(u'techcrunch.com', 'techcrunch.wiki.', 'techcrunch.wiki', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'www-techcrunch.com.', 'www-techcrunch.com', 'combo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.com.cn.', 'techcrunch.com.cn', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'techcrrunch.com.', 'techcrrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrhunch.com.', 'techcrhunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', '6echcrunch.com.', '6echcrunch.com', u'typo', '165.160.13.20')
