(u'tomsguide.com', 'tpmsguide.eu.', 'tpmsguide.eu', u'typo', '91.198.146.247')
(u'tomsguide.com', 'tomsguide.es.', 'tomsguide.es', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'toms-guide.com.', 'toms-guide.com', u'typo', '217.70.184.38')
(u'tomsguide.com', 'tomsguide.com.tw.', 'tomsguide.com.tw', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.info.', 'tomsguide.info', 'wrongTLD', '217.70.184.38')
(u'tomsguide.com', 'tomsguide.org.', 'tomsguide.org', 'wrongTLD', '178.57.217.216')
(u'tomsguide.com', 'tomsguides.pl.', 'tomsguides.pl', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomasguide.com.', 'tomasguide.com', u'typo', '98.124.245.24')
(u'tomsguide.com', 'tomsguide.ch.', 'tomsguide.ch', 'wrongTLD', '212.73.209.5')
(u'tomsguide.com', 'tomsguide.be.', 'tomsguide.be', 'wrongTLD', '212.73.209.5')
(u'tomsguide.com', 'tomguide.com.', 'tomguide.com', u'typo', '202.45.84.67')
(u'tomsguide.com', 'tomsguides.cz.', 'tomsguides.cz', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomsguides.at.', 'tomsguides.at', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.ro.', 'tomsguide.ro', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'topsguide.com.', 'topsguide.com', u'typo', '104.27.139.235')
(u'tomsguide.com', 'tomsguides.ru.', 'tomsguides.ru', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.dk.', 'tomsguide.dk', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguides.tw.', 'tomsguides.tw', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomsguides.com.', 'tomsguides.com', u'typo', '212.73.209.5')
(u'tomsguide.com', 'tomsguide.de.', 'tomsguide.de', 'wrongTLD', '185.53.178.7')
(u'tomsguide.com', 'tomsguide.online.', 'tomsguide.online', 'wrongTLD', '107.170.2.22')
(u'tomsguide.com', 'tomsguide.eu.', 'tomsguide.eu', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'domsguide.com.', 'domsguide.com', u'bits', '204.11.56.48')
(u'tomsguide.com', 'tomsguide.pl.', 'tomsguide.pl', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tosguide.com.', 'tosguide.com', u'typo', '184.168.221.48')
(u'tomsguide.com', 'tomsguides.net.', 'tomsguides.net', u'typo', '217.70.184.38')
(u'tomsguide.com', 'tomsguide.ws.', 'tomsguide.ws', 'wrongTLD', '64.70.19.203')
(u'tomsguide.com', 'tomsguides.nl.', 'tomsguides.nl', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.cz.', 'tomsguide.cz', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguides.de.', 'tomsguides.de', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.us.', 'tomsguide.us', 'wrongTLD', '217.70.184.38')
(u'tomsguide.com', 'tomsguide.at.', 'tomsguide.at', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguides.info.', 'tomsguides.info', u'typo', '217.70.184.38')
(u'tomsguide.com', 'tomsguides.com.tw.', 'tomsguides.com.tw', u'typo', '80.92.65.53')
(u'tomsguide.com', 'tomsguides.es.', 'tomsguides.es', u'typo', '80.92.65.53')
(u'tomsguide.com', 'topsguide.com.', 'topsguide.com', u'typo', '104.27.138.235')
(u'tomsguide.com', 'tomsguide.se.', 'tomsguide.se', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.tw.', 'tomsguide.tw', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.cn.', 'tomsguide.cn', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tosguide.net.', 'tosguide.net', u'typo', '103.224.212.222')
(u'tomsguide.com', 'tomsguide.net.', 'tomsguide.net', 'wrongTLD', '217.70.184.38')
(u'tomsguide.com', 'tomsguide.hu.', 'tomsguide.hu', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguide.it.', 'tomsguide.it', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsgide.com.', 'tomsgide.com', u'typo', '103.224.182.247')
(u'tomsguide.com', 'tomsquide.com.', 'tomsquide.com', u'homo', '103.224.212.222')
(u'tomsguide.com', 'tomsguide.nl.', 'tomsguide.nl', 'wrongTLD', '80.92.65.53')
(u'tomsguide.com', 'tomsguid.com.', 'tomsguid.com', u'typo', '103.224.182.247')
(u'tomsguide.com', 'tomguide.net.', 'tomguide.net', u'typo', '217.70.184.38')
