(u'travelocity.com', 'travelocity-europe.com.', 'travelocity-europe.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'travelocity.my.', 'travelocity.my', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelcity.eu.', 'travelcity.eu', u'typo', '52.58.78.16')
(u'travelocity.com', 'travelocityu.com.', 'travelocityu.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelofcity.com.', 'travelofcity.com', u'typo', '72.52.4.119')
(u'travelocity.com', 'travellocity.com.', 'travellocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloci6ty.com.', 'traveloci6ty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trabelocity.net.', 'trabelocity.net', u'typo', '52.52.18.176')
(u'travelocity.com', 'tavelocity.ca.', 'tavelocity.ca', u'typo', '66.96.149.1')
(u'travelocity.com', '6ravelocity.com.', '6ravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelodcity.com.', 'travelodcity.com', u'typo', '54.72.9.51')
(u'travelocity.com', 'travelovity.com.', 'travelovity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.tw.', 'travelocity.tw', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelacity.net.', 'travelacity.net', u'homo', '52.52.18.176')
(u'travelocity.com', 'travelocity.tel.', 'travelocity.tel', 'wrongTLD', '52.50.143.27')
(u'travelocity.com', 'travelocity.se.', 'travelocity.se', 'wrongTLD', '72.52.4.119')
(u'travelocity.com', 'trazvelocity.com.', 'trazvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trzavelocity.com.', 'trzavelocity.com', u'typo', '23.22.216.234')
(u'travelocity.com', 'travelocoty.com.', 'travelocoty.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocirty.com.', 'travelocirty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocit6y.com.', 'travelocit6y.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloc-ity.com.', 'traveloc-ity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'treavelocity.com.', 'treavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'sarah-travelocity.com.', 'sarah-travelocity.com', 'combo', '43.255.154.41')
(u'travelocity.com', 'travwelocity.com.', 'travwelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelicity.net.', 'travelicity.net', u'homo', '52.52.64.247')
(u'travelocity.com', 'trav4locity.com.', 'trav4locity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.jp.', 'travelocity.jp', 'wrongTLD', '72.52.4.119')
(u'travelocity.com', 'tarvelocity.com.', 'tarvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trsvelocity.com.', 'trsvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travwlocity.com.', 'travwlocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcity.fr.', 'travelcity.fr', u'typo', '204.74.99.101')
