(u'trustpilot.com', 'trustpilot.kz.', 'trustpilot.kz', 'wrongTLD', '91.201.214.201')
(u'trustpilot.com', 'trustpilot.io.', 'trustpilot.io', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.rs.', 'trustpilot.rs', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.lt.', 'trustpilot.lt', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilo.com.ph.', 'trustpilo.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpilot.md.', 'trustpilot.md', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpiot.com.', 'trustpiot.com', u'typo', '54.72.9.51')
(u'trustpilot.com', 'trustpilot.in.', 'trustpilot.in', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.ge.', 'trustpilot.ge', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.co.il.', 'trustpilot.co.il', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.hk.', 'trustpilot.hk', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.cl.', 'trustpilot.cl', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.ca.', 'trustpilot.ca', 'wrongTLD', '199.59.242.150')
(u'trustpilot.com', 'trustpilot.reviews.', 'trustpilot.reviews', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.dk.', 'trustpilot.dk', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.net.', 'trustpilot.net', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustplot.com.ph.', 'trustplot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpilot.com.bd.', 'trustpilot.com.bd', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.cz.', 'trustpilot.cz', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilt.com.ph.', 'trustpilt.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpilots.com.', 'trustpilots.com', u'typo', '69.172.201.153')
(u'trustpilot.com', 'trustpilot.lv.', 'trustpilot.lv', 'wrongTLD', '185.7.252.112')
(u'trustpilot.com', 'trustpilot.biz.', 'trustpilot.biz', 'wrongTLD', '94.231.103.100')
(u'trustpilot.com', 'trustpilot.si.', 'trustpilot.si', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilit.com.', 'trustpilit.com', u'homo', '54.72.9.51')
(u'trustpilot.com', 'trustpilot.systems.', 'trustpilot.systems', 'wrongTLD', '46.30.215.46')
(u'trustpilot.com', 'trustpilot.in.', 'trustpilot.in', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.hk.', 'trustpilot.hk', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'truspilot.com.ph.', 'truspilot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpilot.uk.', 'trustpilot.uk', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpiot.com.', 'trustpiot.com', u'typo', '185.53.179.6')
