(u'verizonwireless.com', 'verizonwareless.com.', 'verizonwareless.com', u'homo', '184.168.221.60')
(u'verizonwireless.com', 'verizonwireless.space.', 'verizonwireless.space', 'wrongTLD', '208.91.197.91')
(u'verizonwireless.com', 'verizomwireless.com.', 'verizomwireless.com', u'homo', '52.0.7.30')
(u'verizonwireless.com', 'verizonwirelerss.com.', 'verizonwirelerss.com', u'typo', '98.124.199.14')
(u'verizonwireless.com', 'verizonwireless.xxx.', 'verizonwireless.xxx', 'wrongTLD', '199.253.28.249')
(u'verizonwireless.com', 'verizsonwireless.com.', 'verizsonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizaonwireless.com.', 'verizaonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwirelesds.com.', 'verizonwirelesds.com', u'typo', '23.215.104.209')
(u'verizonwireless.com', 'verizonwirelezs.com.', 'verizonwirelezs.com', u'typo', '185.53.178.7')
(u'verizonwireless.com', 'verizonwireless-website.info.', 'verizonwireless-website.info', 'combo', '103.224.182.240')
(u'verizonwireless.com', 'vetrizonwireless.com.', 'vetrizonwireless.com', u'typo', '98.124.199.111')
(u'verizonwireless.com', 'veriaonwireless.com.', 'veriaonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwireelss.com.', 'verizonwireelss.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'veizonwireless.com.', 'veizonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'vereizonwireless.com.', 'vereizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwirelsss.com.', 'verizonwirelsss.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelesxs.com.', 'verizonwirelesxs.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwuireless.com.', 'verizonwuireless.com', u'typo', '23.215.104.224')
(u'verizonwireless.com', 'verizonwirelers.com.', 'verizonwirelers.com', u'bits', '72.52.10.14')
(u'verizonwireless.com', 'veriozonwireless.com.', 'veriozonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'veeizonwireless.com.', 'veeizonwireless.com', u'typo', '103.224.182.238')
(u'verizonwireless.com', 'verizonwireless-deals.com.', 'verizonwireless-deals.com', 'combo', '162.242.150.89')
(u'verizonwireless.com', 'veriznowireless.com.', 'veriznowireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelses.com.', 'verizonwirelses.com', u'typo', '72.52.4.120')
(u'verizonwireless.com', 'veriazonwireless.com.', 'veriazonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirteless.com.', 'verizonwirteless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirless.net.', 'verizonwirless.net', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizoneireless.com.', 'verizoneireless.com', u'typo', '103.224.182.238')
