(u'xfinity.com', 'xfinidy.com.', 'xfinidy.com', u'bits', '54.72.9.51')
(u'xfinity.com', 'xfiniyt.net.', 'xfiniyt.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinity-solutions.com.', 'xfinity-solutions.com', 'combo', '23.236.62.147')
(u'xfinity.com', 'xfinity-biz.mobi.', 'xfinity-biz.mobi', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfiity.net.', 'xfiity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfknity.net.', 'xfknity.net', u'bits', '165.160.15.20')
(u'xfinity.com', 'xfunity.net.', 'xfunity.net', u'homo', '165.160.13.20')
(u'xfinity.com', 'xfinity-spectrum.net.', 'xfinity-spectrum.net', 'combo', '165.160.15.20')
(u'xfinity.com', 'dnssec-xfinity.org.', 'dnssec-xfinity.org', 'combo', '68.87.64.48')
(u'xfinity.com', 'zfinity.net.', 'zfinity.net', u'bits', '165.160.15.20')
(u'xfinity.com', 'xfinify.com.', 'xfinify.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinityy.net.', 'xfinityy.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'spectrum-xfinity.org.', 'spectrum-xfinity.org', 'combo', '165.160.15.20')
(u'xfinity.com', 'xfinity.is.', 'xfinity.is', 'wrongTLD', '165.160.15.20')
(u'xfinity.com', 'xfiniyt.com.', 'xfiniyt.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'dnssec-xfinity.net.', 'dnssec-xfinity.net', 'combo', '68.87.64.48')
(u'xfinity.com', 'x-finity.net.', 'x-finity.net', u'typo', '69.252.80.75')
(u'xfinity.com', 'xfunity.com.', 'xfunity.com', u'homo', '165.160.13.20')
(u'xfinity.com', 'xfinity-spectrum.com.', 'xfinity-spectrum.com', 'combo', '165.160.15.20')
(u'xfinity.com', 'xfiity.com.', 'xfiity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfknity.com.', 'xfknity.com', u'bits', '165.160.15.20')
(u'xfinity.com', 'spectrum-xfinity.net.', 'spectrum-xfinity.net', 'combo', '165.160.15.20')
(u'xfinity.com', 'xfinityy.com.', 'xfinityy.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinity-tv.info.', 'xfinity-tv.info', 'combo', '165.160.13.20')
(u'xfinity.com', 'dnssec-xfinity.com.', 'dnssec-xfinity.com', 'combo', '68.87.64.48')
(u'xfinity.com', 'spectrum-xfinity.com.', 'spectrum-xfinity.com', 'combo', '165.160.15.20')
(u'xfinity.com', 'xfinity.cz.', 'xfinity.cz', 'wrongTLD', '5.135.139.61')
(u'xfinity.com', 'xfinityh.com.', 'xfinityh.com', u'typo', '185.53.179.8')
(u'xfinity.com', 'xfinkty.net.', 'xfinkty.net', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfniity.net.', 'xfniity.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xvfinity.com.', 'xvfinity.com', u'typo', '54.217.222.113')
(u'xfinity.com', 'finity.ee.', 'finity.ee', u'typo', '69.89.31.210')
(u'xfinity.com', 'homesecuritydeals-xfinity.com.', 'homesecuritydeals-xfinity.com', 'combo', '184.168.221.23')
(u'xfinity.com', 'xfinoty.net.', 'xfinoty.net', u'homo', '165.160.15.20')
(u'xfinity.com', 'finity.eu.', 'finity.eu', u'typo', '91.213.165.12')
(u'xfinity.com', 'xxfinity.org.', 'xxfinity.org', u'typo', '165.160.15.20')
(u'xfinity.com', 'comcast-xfinity.community.', 'comcast-xfinity.community', 'combo', '62.149.128.151')
(u'xfinity.com', 'xfinify.net.', 'xfinify.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfniity.com.', 'xfniity.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinyty.com.', 'xfinyty.com', u'bits', '174.137.132.42')
(u'xfinity.com', 'xfinkty.com.', 'xfinkty.com', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfinityl.com.', 'xfinityl.com', u'typo', '103.224.182.252')
(u'xfinity.com', 'xfinity-spectrum.org.', 'xfinity-spectrum.org', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfinoty.com.', 'xfinoty.com', u'homo', '165.160.15.20')
(u'xfinity.com', 'xxfinity.net.', 'xxfinity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'comcast-xfinity.community.', 'comcast-xfinity.community', 'combo', '62.149.128.154')
(u'xfinity.com', 'xfinify.com.', 'xfinify.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'zfinity.net.', 'zfinity.net', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfinity-spectrum.net.', 'xfinity-spectrum.net', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfiity.net.', 'xfiity.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfknity.net.', 'xfknity.net', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfifity.com.', 'xfifity.com', u'bits', '69.162.80.54')
(u'xfinity.com', 'xfinioty.com.', 'xfinioty.com', u'typo', '184.168.221.12')
(u'xfinity.com', 'xfanity.com.', 'xfanity.com', u'homo', '199.59.242.150')
(u'xfinity.com', 'xcinity.net.', 'xcinity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'spectrum-xfinity.org.', 'spectrum-xfinity.org', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfinityy.net.', 'xfinityy.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinity.is.', 'xfinity.is', 'wrongTLD', '165.160.13.20')
(u'xfinity.com', 'xxfinity.com.', 'xxfinity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'comcast-xfinity.community.', 'comcast-xfinity.community', 'combo', '62.149.128.157')
(u'xfinity.com', 'spectrum-xfinity.net.', 'spectrum-xfinity.net', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfiity.com.', 'xfiity.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfknity.com.', 'xfknity.com', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfinity-spectrum.com.', 'xfinity-spectrum.com', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfinityy.com.', 'xfinityy.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfifity.com.', 'xfifity.com', u'bits', '69.162.80.59')
(u'xfinity.com', 'xcinity.com.', 'xcinity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xdfinity.com.', 'xdfinity.com', u'typo', '54.72.9.51')
(u'xfinity.com', 'xfiinty.net.', 'xfiinty.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xifnity.net.', 'xifnity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinity-texans.com.', 'xfinity-texans.com', 'combo', '50.63.202.65')
(u'xfinity.com', 'curtis-gadgets-and-xfinity.com.', 'curtis-gadgets-and-xfinity.com', 'combo', '74.208.236.9')
(u'xfinity.com', 'xfinigy.net.', 'xfinigy.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'spectrum-xfinity.com.', 'spectrum-xfinity.com', 'combo', '165.160.13.20')
(u'xfinity.com', 'cfinity.net.', 'cfinity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfiinty.com.', 'xfiinty.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xifnity.com.', 'xifnity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'internetdeals-xfinity.com.', 'internetdeals-xfinity.com', 'combo', '184.168.221.3')
(u'xfinity.com', 'xfijnity.com.', 'xfijnity.com', u'typo', '141.8.224.169')
(u'xfinity.com', 'xfinigy.com.', 'xfinigy.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfiunity.com.', 'xfiunity.com', u'typo', '95.211.219.67')
(u'xfinity.com', 'xfinoty.net.', 'xfinoty.net', u'homo', '165.160.13.20')
(u'xfinity.com', 'xfinitu.net.', 'xfinitu.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'nexfinity-web-creation.com.', 'nexfinity-web-creation.com', 'combo', '153.120.181.188')
(u'xfinity.com', 'cfinity.com.', 'cfinity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinity.net.', 'xfinity.net', 'wrongTLD', '69.252.80.75')
(u'xfinity.com', 'xxfinity.org.', 'xxfinity.org', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinit.net.', 'xfinit.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinoty.com.', 'xfinoty.com', u'homo', '165.160.13.20')
(u'xfinity.com', 'xxfinity.net.', 'xxfinity.net', u'typo', '165.160.13.20')
(u'xfinity.com', '8finity.co.uk.', '8finity.co.uk', u'bits', '23.227.38.32')
(u'xfinity.com', 'xfinitu.com.', 'xfinitu.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfiunity.com.', 'xfiunity.com', u'typo', '69.162.80.52')
(u'xfinity.com', 'mixfinity-explore.com.', 'mixfinity-explore.com', 'combo', '91.184.0.100')
(u'xfinity.com', 'pfinity.com.', 'pfinity.com', u'bits', '50.63.202.36')
(u'xfinity.com', 'xfinityi.com.', 'xfinityi.com', u'typo', '185.53.178.8')
(u'xfinity.com', 'xfinity-center.com.', 'xfinity-center.com', 'combo', '75.103.120.211')
(u'xfinity.com', 'xfinjty.net.', 'xfinjty.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinity.net.cn.', 'xfinity.net.cn', 'wrongTLD', '59.79.125.218')
(u'xfinity.com', 'xcinity.net.', 'xcinity.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'dfinity.market.', 'dfinity.market', u'typo', '69.64.147.242')
(u'xfinity.com', '1-800-xfinity.com.', '1-800-xfinity.com', 'combo', '69.64.147.243')
(u'xfinity.com', 'xfinity-security.com.', 'xfinity-security.com', 'combo', '74.220.199.6')
(u'xfinity.com', 'xxfinity.com.', 'xxfinity.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfiunity.com.', 'xfiunity.com', u'typo', '69.162.80.55')
(u'xfinity.com', 'xginity.net.', 'xginity.net', u'bits', '165.160.15.20')
(u'xfinity.com', 'xfinity-productupdate.com.', 'xfinity-productupdate.com', 'combo', '185.53.178.9')
(u'xfinity.com', 'xfinity-marketing.com.', 'xfinity-marketing.com', 'combo', '74.208.236.155')
(u'xfinity.com', 'xcinity.com.', 'xcinity.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinjty.com.', 'xfinjty.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xftinity.com.', 'xftinity.com', u'typo', '141.8.224.93')
(u'xfinity.com', 'xfiinty.net.', 'xfiinty.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinity-latino.com.', 'xfinity-latino.com', 'combo', '181.224.138.90')
(u'xfinity.com', 'xfin9ty.net.', 'xfin9ty.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xifnity.net.', 'xifnity.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xginity.com.', 'xginity.com', u'bits', '165.160.15.20')
(u'xfinity.com', 'xfinigy.net.', 'xfinigy.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinitt.net.', 'xfinitt.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfkinity.com.', 'xfkinity.com', u'typo', '141.8.224.93')
(u'xfinity.com', 'xfihity.net.', 'xfihity.net', u'typo', '165.160.15.20')
