(u'zocdoc.com', 'zzocdoc.com.', 'zzocdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.hk.', 'zocdoc.hk', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdock.it.', 'zocdock.it', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdic.com.', 'zocdic.com', u'homo', '72.52.10.14')
(u'zocdoc.com', 'zodcoc.ch.', 'zodcoc.ch', u'typo', '72.52.10.14')
(u'zocdoc.com', 'rocdoc.co.uk.', 'rocdoc.co.uk', u'bits', '79.170.244.55')
(u'zocdoc.com', 'tocdoc.ru.', 'tocdoc.ru', u'typo', '62.173.154.170')
(u'zocdoc.com', 'zocdoc.asia.', 'zocdoc.asia', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdocc.com.', 'zocdocc.com', u'typo', '199.59.242.150')
(u'zocdoc.com', 'zocdoc.info.', 'zocdoc.info', 'wrongTLD', '69.172.201.153')
(u'zocdoc.com', 'zodcoc.be.', 'zodcoc.be', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdox.org.', 'zocdox.org', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zodcoc.com.au.', 'zodcoc.com.au', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zoxdoc.com.', 'zoxdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zodcoc.org.', 'zodcoc.org', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdox.net.', 'zocdox.net', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.com.kh.', 'zocdoc.com.kh', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'tocdoc.net.', 'tocdoc.net', u'typo', '107.161.23.204')
(u'zocdoc.com', 'zodcoc.net.', 'zodcoc.net', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.ch.', 'zokdoc.ch', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zocdox.com.', 'zocdox.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.it.', 'zocdocs.it', u'typo', '72.52.10.14')
(u'zocdoc.com', 'socdoc.ch.', 'socdoc.ch', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.us.', 'zocdoc.us', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zococ.site.', 'zococ.site', u'typo', '104.247.192.52')
(u'zocdoc.com', 'jocdoc.net.', 'jocdoc.net', u'bits', '69.64.147.244')
(u'zocdoc.com', 'zocdock.co.uk.', 'zocdock.co.uk', u'typo', '72.52.10.14')
(u'zocdoc.com', 'z9cdoc.com.', 'z9cdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.biz.', 'zokdoc.biz', u'bits', '72.52.10.14')
(u'zocdoc.com', 'rocdoc.com.', 'rocdoc.com', u'bits', '50.62.122.1')
(u'zocdoc.com', 'zocdock.es.', 'zocdock.es', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zoocdoc.com.', 'zoocdoc.com', u'typo', '185.53.179.7')
(u'zocdoc.com', 'zocdoc.sexy.', 'zocdoc.sexy', 'wrongTLD', '93.191.168.52')
(u'zocdoc.com', 'zocd0c.com.', 'zocd0c.com', u'homo', '72.52.10.14')
(u'zocdoc.com', 'zoc-doc.com.', 'zoc-doc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdooc.com.', 'zocdooc.com', u'typo', '199.59.242.150')
(u'zocdoc.com', 'zocdog.com.', 'zocdog.com', u'bits', '213.247.47.190')
(u'zocdoc.com', 'zocdox.us.', 'zocdox.us', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.es.', 'zocdocs.es', u'typo', '72.52.10.14')
(u'zocdoc.com', 'ocdoc.co.uk.', 'ocdoc.co.uk', u'typo', '216.239.38.21')
(u'zocdoc.com', 'zocdoc.xyz.', 'zocdoc.xyz', 'wrongTLD', '72.52.4.121')
(u'zocdoc.com', 'rocdoc.de.', 'rocdoc.de', u'bits', '89.31.143.1')
(u'zocdoc.com', 'rocdoc.info.', 'rocdoc.info', u'bits', '69.172.201.153')
(u'zocdoc.com', 'zodcoc.us.', 'zodcoc.us', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.ee.', 'zocdoc.ee', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zcodoc.com.', 'zcodoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'ozcdoc.com.', 'ozcdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'socdoc.com.au.', 'socdoc.com.au', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdog.com.', 'zocdog.com', u'bits', '173.239.5.6')
(u'zocdoc.com', 'xocdoc.com.', 'xocdoc.com', u'bits', '72.52.10.14')
(u'zocdoc.com', 'socdoc.co.kr.', 'socdoc.co.kr', u'typo', '13.112.178.143')
(u'zocdoc.com', 'zocdoc.mu.', 'zocdoc.mu', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.cn.', 'zocdoc.cn', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zodoc.ch.', 'zodoc.ch', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.org.', 'zocdoc.org', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.us.', 'zokdoc.us', u'bits', '72.52.10.14')
(u'zocdoc.com', 'socdoc.us.', 'socdoc.us', u'typo', '72.52.10.14')
(u'zocdoc.com', 'ocdoc.co.uk.', 'ocdoc.co.uk', u'typo', '216.239.36.21')
(u'zocdoc.com', 'zocdo.com.', 'zocdo.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zoctoc.com.', 'zoctoc.com', u'bits', '141.8.224.93')
(u'zocdoc.com', 'zocdocz.com.', 'zocdocz.com', u'typo', '50.63.202.75')
(u'zocdoc.com', 'zocdock.ca.', 'zocdock.ca', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zodoc.biz.', 'zodoc.biz', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocxoc.com.', 'zocxoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zococ.loan.', 'zococ.loan', u'typo', '172.82.174.234')
(u'zocdoc.com', 'zocdock.org.', 'zocdock.org', u'typo', '72.52.10.14')
(u'zocdoc.com', 'socdoc.co.uk.', 'socdoc.co.uk', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdog.com.', 'zocdog.com', u'bits', '173.239.8.164')
(u'zocdoc.com', 'zocdoc.ie.', 'zocdoc.ie', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zpcdoc.com.', 'zpcdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdock.net.', 'zocdock.net', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.kz.', 'zocdoc.kz', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocfoc.com.', 'zocfoc.com', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zocdock.com.', 'zocdock.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.it.', 'zocdoc.it', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'ocdoc.co.uk.', 'ocdoc.co.uk', u'typo', '216.239.34.21')
(u'zocdoc.com', 'zocdox.com.cn.', 'zocdox.com.cn', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.ca.', 'zocdocs.ca', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.kg.', 'zocdoc.kg', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.com.au.', 'zocdocs.com.au', u'typo', '72.52.10.14')
(u'zocdoc.com', 'socdoc.biz.', 'socdoc.biz', u'typo', '72.52.10.14')
